student_id_new,acct_id_new,person_detail_id_new,gender,city,state,zip,ethnicity,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id
30,1229,27054,M,North Wilkesboro,NC,28659,2,68,14,7,9.0,N,N,2.1,5,1,2.1,1,12
31,1027,22313,M,Morganton,NC,28655,0,55,10,5,6.0,N,Y,3.64,0,0,3.57143,0,11
32,10574,13760,M,Elkin,NC,28621,1,5,14,9,8.0,Y,Y,3.3,0,6,2.90833,0,11
33,15940,29206,F,Morganton,NC,28655,0,57,21,5,8.0,N,N,3.95833,0,0,3.91667,0,11
34,7837,4119,M,Vilas,NC,28692,0,1,22,5,7.0,N,N,2.29545,21,5,0.66667,9,11
35,11232,4392,F,Thurmond,NC,28683,0,15,1,5,6.0,N,N,2.16667,2,3,2.16667,1,12
36,15356,29366,M,Forest City ,NC,28043,0,23,17,5,9.0,N,N,0.0,57,0,,0,12
37,5442,18606,M,Rutherfordton,NC,28139,0,24,12,5,9.0,N,N,3.2125,2,7,2.13333,0,12
38,8556,20292,M,Jefferson,NC,28640,0,69,2,5,6.0,N,N,0.95909,3,4,0.60909,6,12
39,11093,2554,M,Forest City,NC,28043,0,12,17,5,11.0,N,N,0.0,0,0,,0,12
40,4043,28291,M,Boone,NC,28607,0,44,23,5,8.0,N,N,2.94,7,6,1.86667,0,11
41,11693,22605,F,Robbinsville,NC,28771,0,43,13,5,7.0,N,N,3.94444,0,9,3.91667,0,12
42,6614,20778,M,Purlear,NC,28665,0,18,1,5,7.0,N,N,3.83333,0,2,3.83333,0,12
43,9528,13999,F,Elkin,NC,28621,0,8,1,4,8.0,N,N,1.61667,7,2,1.61667,1,12
44,8900,6356,F,Roaring River,NC,28669,1,8,1,9,7.0,N,N,2.68571,2,0,1.54167,2,11
45,5504,8090,M,Burnsville,NC,28714,1,25,4,9,6.0,N,N,2.0125,2,0,2.0125,1,12
46,16823,26766,M,North Wilkesboro,NC,28659,2,45,14,7,9.0,N,N,2.175,51,2,2.175,0,12
47,14224,5469,M,Robbinsville,NC,28771,0,43,13,5,7.0,N,N,1.49444,6,5,0.90833,7,12
48,1134,21713,F,Morganton,NC,28655,0,55,10,5,6.0,N,N,4.0,0,0,,0,11
49,3262,21950,F,Bostic,NC,28018,0,52,17,5,8.0,N,N,0.0,0,0,,0,12
50,11715,25062,F,Forest City,NC,28043,0,3,12,5,8.0,N,N,,0,0,,0,11
51,5424,10056,F,Forest City,NC,28043,0,7,9,5,7.0,N,N,3.87895,4,9,3.79091,0,12
52,12833,23868,F,Valdese,NC,28690,0,49,10,5,6.0,N,Y,3.45455,0,0,3.25,0,11
53,6672,29192,M,Morganton,NC,28655,0,55,10,2,7.0,N,N,1.62069,0,0,1.0625,4,12
54,14140,25417,F,Whittier,NC,28789,0,74,3,5,6.0,N,N,3.95333,0,5,4.0,0,12
55,9037,3026,M,Boomer,NC,28606,0,18,1,5,6.0,N,Y,3.76667,2,10,3.76667,0,12
56,11662,21856,F,Marshall,NC,28753,0,17,19,5,6.0,N,N,3.68333,2,2,3.475,0,12
57,10534,3107,M,Rutherfordton,NC,28139,0,7,9,5,7.0,N,N,,0,0,,0,11
58,14134,29316,F,Forest City,NC,28043,0,20,17,5,8.0,N,N,0.0,5,0,,0,12
59,9121,19891,F,Connelly Springs,NC,28612,0,51,10,1,7.0,N,N,4.0,0,0,4.0,0,11
60,16916,24668,M,Rutherfordton,NC,28139,0,53,9,5,7.0,N,N,3.35909,0,0,3.2,0,12
61,12205,29378,M,Rutherfordton,NC,28139,0,35,17,5,12.0,N,N,0.0,1,0,,0,12
62,10277,27542,M,Wilkesboro,NC,28697,0,11,1,5,7.0,N,N,2.73333,2,0,2.73333,0,12
63,10868,27117,M,Morganton,NC,28655,0,36,10,5,7.0,N,Y,2.83333,10,0,2.5,0,11
64,1330,23867,F,Ennice,NC,28623,1,65,5,9,6.0,N,N,3.76,2,10,3.7,0,12
65,11982,17076,F,Rutherfordton,NC,28139,0,23,17,5,10.0,N,N,0.0,5,1,,0,12
66,3338,3257,M,Marshall,NC,28753,0,17,19,5,6.0,N,N,3.15833,12,1,2.61667,0,12
67,13067,9876,F,Valdese,NC,28690,0,49,10,5,7.0,N,N,1.89286,0,0,1.0,9,11
68,9714,9945,M,Robbinsville,NC,28771,0,43,13,5,7.0,N,N,2.69444,0,4,2.15,2,12
69,8874,20731,M,North Wilkesboro,NC,28659,1,18,1,9,8.0,Y,Y,0.725,8,4,0.725,6,12
70,11167,22806,F,Morganton,NC,28655,0,16,10,5,8.0,N,N,3.30541,1,0,3.525,0,12
71,9904,25269,M,Rutherfordton,NC,28139,0,62,12,5,9.0,N,N,0.0,0,0,0.0,1,12
72,6577,24811,F,Morganton,NC,28655,0,71,21,2,9.0,N,N,3.4,2,23,2.78333,0,12
73,1077,2818,F,Spindale,NC,28160,0,35,17,6,11.0,N,N,0.0,0,0,,0,12
74,5395,25136,F,Hays,NC,28635,2,46,14,5,8.0,N,N,1.78929,5,3,0.475,9,11
75,14566,6565,M,Connelly Springs,NC,28612,0,51,10,1,6.0,N,N,3.83333,0,3,3.75,0,12
76,3755,2083,M,Bostic,NC,28018,0,12,17,5,11.0,N,N,0.0,0,0,,0,12
77,10874,20809,F,North Wilkesboro,NC,28659,2,4,14,7,9.0,N,N,2.38333,5,46,2.38333,1,12
78,12512,22310,F,Forest City,NC,28043,0,12,17,2,10.0,N,N,0.0,0,2,,0,12
79,14809,25266,F,Moravian Falls,NC,28654,0,11,1,5,7.0,N,N,3.9,2,6,3.9,0,12
80,2671,3216,M,Bryson City,NC,28713,0,74,3,5,8.0,N,N,1.70588,0,9,1.6,5,12
81,5626,19206,M,Jefferson,NC,28640,0,30,2,5,6.0,N,N,1.9087,3,2,1.3,4,12
82,10813,23638,M,State Road,NC,28676,0,8,1,5,6.0,N,N,2.95,1,0,2.95,0,12
83,3420,28383,M,Wilkesboro,NC,28697,2,68,14,7,9.0,N,N,0.0,3,4,0.0,0,12
84,8696,28993,M,Sylva,NC,28779,0,47,20,5,8.0,N,N,3.25417,9,6,2.64167,2,11
85,4310,5500,F,North Wilkesboro,NC,28659,0,15,1,5,8.0,N,N,3.64167,0,2,3.64167,0,12
86,14669,20783,F,Wilkesboro,NC,28697,0,11,1,5,6.0,N,N,3.98929,2,2,3.975,0,11
87,5264,27149,F,Mars Hill,NC,28754,0,17,19,5,6.0,N,N,3.79667,2,4,3.71111,0,11
88,1352,17317,F,Jefferson,NC,28640,0,76,15,5,8.0,N,N,,3,20,,0,11
89,4640,8465,F,West Jefferson,NC,28694,0,67,2,5,7.0,N,N,3.375,1,0,3.44167,0,12
90,6229,3714,M,Mooresboro,NC,28114,0,23,17,5,12.0,N,N,0.0,1,0,,0,12
91,2043,6413,M,Hot Springs,NC,28743,0,17,19,5,6.0,N,N,3.71579,9,1,3.65,0,12
92,9468,18414,M,Forest City,NC,28043,0,22,9,5,6.0,N,N,0.0,2,1,0.0,22,11
93,15108,16484,M,Lenoir,NC,28645,0,13,23,5,9.0,N,N,,37,20,,0,12
94,8688,19533,M,Ellenboro,NC,28040,0,22,9,5,8.0,N,N,2.22273,26,0,1.59091,3,12
95,10977,22394,M,Moravian Falls,NC,28654,0,11,1,5,8.0,N,N,3.21667,4,4,3.21667,0,12
96,13589,3243,F,Elkin,NC,28621,1,8,1,9,6.0,Y,N,3.61667,1,0,3.61667,0,12
97,2974,2460,F,Morganton,NC,28655,0,55,10,5,6.0,N,N,3.47368,1,0,3.27273,0,11
98,4937,12765,M,Rutherfordton,NC,28139,0,7,9,5,7.0,N,N,3.75,0,0,3.75,0,11
99,10140,17477,F,Sparta,NC,28675,0,9,5,5,7.0,N,N,3.91739,3,5,3.82727,0,12
100,5793,26838,F,North Wilkesboro,NC,28659,0,11,1,4,6.0,N,N,2.29643,3,1,1.05,5,11
101,11129,28432,M,Ellenboro,NC,28040,0,22,9,5,7.0,N,N,,0,0,,0,11
102,13790,11139,F,Ellenboro,NC,28040,0,53,9,5,6.0,N,N,1.88333,15,3,1.80714,6,12
103,6895,2130,F,Morganton,NC,28655,0,16,10,5,7.0,N,N,4.0,0,2,4.0,0,11
104,1365,27790,F,Wilkesboro,NC,28697,2,2,14,2,8.0,N,N,3.76071,2,10,3.525,0,11
105,4210,9257,F,Forest City,NC,28043,0,23,17,5,10.0,N,N,0.0,0,2,,0,12
106,2195,26789,M,Morganton,NC,28655,0,40,21,4,9.0,N,N,1.8375,58,32,1.47,6,12
107,6924,17629,F,Spindale,NC,28160,0,35,17,5,12.0,N,N,0.0,2,2,,0,12
108,15483,23504,F,Connelly Springs,NC,28612,0,51,10,5,7.0,N,N,3.20833,3,0,3.07692,0,12
109,15699,18752,F,Ellenboro,NC,28040,0,12,17,5,11.0,N,N,0.0,0,1,,0,12
110,14273,4847,M,Sparta,NC,28675,2,50,8,5,9.0,N,N,2.0,64,45,,5,12
111,7340,21669,M,Connelly Springs,NC,28612,0,51,10,5,7.0,N,N,2.58333,9,0,2.25,2,12
112,1348,19358,F,Sparta,NC,28675,0,56,5,7,6.0,N,N,4.0,3,5,4.0,0,11
113,16866,11790,F,Wilkesboro,NC,28697,0,18,1,5,8.0,N,N,2.125,8,7,2.125,2,12
114,3535,19364,F,North Wilkesboro,NC,28659,0,11,1,5,8.0,N,N,0.55556,7,4,0.55556,5,12
115,2253,24066,F,Spindale,NC,28160,0,35,17,5,12.0,N,N,0.0,6,0,,0,12
116,14266,22611,F,North Wilkesboro,NC,28659,2,46,14,5,8.0,N,N,3.68214,1,0,3.30833,0,11
117,14165,19650,F,Morganton,NC,28655,0,34,21,2,8.0,N,Y,3.35714,0,0,3.2,0,11
118,6171,3285,M,Jefferson,NC,28640,1,30,2,9,6.0,N,N,3.4,4,0,3.85,0,12
119,15227,694,M,Ennice,NC,28623,0,9,5,5,6.0,N,N,3.09565,5,0,2.49167,0,12
120,12590,14753,M,Roaring River,NC,28669,0,8,1,5,7.0,N,N,3.61667,4,1,3.61667,0,12
121,13595,14949,F,Jefferson,NC,28640,1,67,2,9,7.0,N,N,3.89333,5,0,3.82222,0,12
122,2982,8400,M,Morganton,NC,28655,0,55,10,5,6.0,N,N,3.08,3,10,2.83333,1,11
123,3632,139,M,Robbinsville,NC,28771,0,38,13,5,6.0,N,N,2.29048,0,0,1.75833,3,12
124,9271,26392,F,Forest City,NC,28043,0,53,9,5,6.0,N,N,3.41538,0,1,3.38571,1,12
125,7907,26056,F,Mooresboro,NC,28114,0,20,17,5,8.0,N,N,0.0,1,2,,0,12
126,2083,19481,F,Laurel Springs,NC,28644,0,76,15,5,8.0,N,Y,,4,7,,0,11
127,8451,23828,F,Forest City,NC,28043,0,20,17,5,7.0,N,N,0.0,1,1,,0,12
128,12343,7204,F,Sparta,NC,28675,0,9,5,5,6.0,N,N,3.6,4,4,3.42727,0,12
129,5413,19062,F,Morganton,NC,28655,0,51,10,5,7.0,N,N,3.45833,0,0,3.25,0,11
130,7718,21976,F,Morganton,NC,28655,1,16,10,9,6.0,N,N,3.70968,0,0,3.5,0,11
131,6346,18181,M,Ennice,NC,28623,2,50,8,5,9.0,N,N,3.6375,49,27,3.66667,0,12
132,538,22713,M,Forest City,NC,28043,0,35,17,5,11.0,N,N,0.0,0,4,,0,12
133,2840,7066,M,Bryson City,NC,28713,0,47,20,5,8.0,N,N,3.5875,4,1,3.39167,0,11
134,15353,6263,F,Sugar Grove,NC,28679,1,27,22,9,6.0,N,N,3.78333,1,5,3.62857,0,12
135,3603,12654,M,Rutherfordton,NC,28139,0,35,17,5,11.0,N,N,0.0,20,0,,0,12
136,1379,23727,M,Elkin,NC,28621,0,15,1,5,7.0,N,N,3.41429,3,0,3.0,0,11
137,2651,25160,F,Burnsville,NC,28714,0,75,4,5,7.0,N,N,3.66667,2,6,3.66667,0,12
138,10031,28610,F,Morganton,NC,28655,0,55,10,5,7.0,N,N,3.24,11,5,2.76923,0,12
139,9452,16383,F,North Wilkesboro,NC,28659,0,18,1,5,8.0,Y,N,1.9,3,3,1.9,1,12
140,583,24612,M,North Wilkesboro,NC,28659,0,11,1,5,7.0,N,N,0.0,2,0,0.0,4,12
141,1871,26326,F,Morganton,NC,28655,0,40,21,5,9.0,N,N,3.23125,29,8,3.5,2,12
142,8146,5094,M,North Wilkesboro,NC,28659,2,2,14,5,8.0,N,N,3.92857,4,7,3.85833,0,11
143,7022,18111,M,Morganton,NC,28655,0,55,10,1,7.0,N,N,3.42857,1,0,4.0,0,12
144,12695,26292,M,Elkin,NC,28621,0,8,1,5,7.0,N,N,3.56667,1,3,3.56667,0,12
145,5539,8342,F,Spindale,NC,28160,0,23,17,5,12.0,N,N,0.0,10,0,,0,12
146,2084,29055,F,Glen Alpine,NC,28628,0,40,21,5,9.0,N,N,3.225,17,7,3.45,1,12
147,12138,22127,F,North Wilkesboro,NC,28659,2,26,14,7,9.0,Y,N,1.10833,4,2,1.10833,7,12
148,6683,8780,F,Morganton,NC,28655,0,55,10,5,6.0,N,N,3.80769,5,4,3.66667,0,11
149,12599,23729,M,Rutherfordton,NC,28139,0,35,17,5,10.0,N,N,0.0,0,0,,0,12
150,4009,7005,F,Marshall,NC,28753,0,72,16,5,9.0,N,N,3.8625,28,34,3.74,0,12
151,11305,12883,F,Warrensville,NC,28693,0,77,2,5,6.0,N,N,3.3,5,6,3.775,0,12
152,11322,26852,F,Morganton,NC,28655,0,40,21,2,9.0,N,N,3.9375,22,6,3.875,0,12
153,13770,17135,M,Forest City,NC,28043,0,12,17,2,10.0,N,N,0.0,2,0,,0,12
154,16910,25569,F,Ennice,NC,28623,0,65,5,5,6.0,N,N,3.69,0,1,3.62667,0,12
155,14720,14248,F,Robbinsville,NC,28771,0,43,13,5,8.0,N,N,3.67222,8,1,3.625,0,12
156,6414,13929,M,Boone,NC,28607,0,13,23,5,9.0,N,N,,8,0,,0,12
157,11622,21825,F,Ennice,NC,28623,2,50,8,9,9.0,N,N,3.04583,15,10,2.7,0,12
158,9411,17691,M,Connelly Springs,NC,28612,0,51,10,5,6.0,N,Y,2.375,0,0,2.08333,0,11
159,10973,18561,M,Marshall,NC,28753,0,17,19,5,7.0,N,Y,2.77667,4,1,2.55556,2,11
160,10013,22435,M,Ellenboro,NC,28040,0,12,17,4,12.0,N,N,0.0,5,1,,0,12
161,10046,24703,F,Connelly Springs,NC,28612,0,73,21,5,8.0,N,N,4.0,4,0,4.0,0,11
162,4666,19549,F,Morganton,NC,28655,0,40,21,5,9.0,N,N,2.31875,21,62,1.675,4,12
163,13939,5963,M,Glade Valley,NC,28627,0,65,5,5,7.0,N,N,3.45238,4,8,3.31875,0,12
164,9298,11759,F,West Jefferson,NC,28694,0,77,2,5,6.0,N,N,2.12273,16,5,1.58333,4,12
165,5197,6884,M,Glade Valley,NC,28627,2,50,8,5,9.0,N,N,3.72917,3,13,3.71111,0,12
166,15288,11636,M,Burnsville,NC,28714,0,25,4,5,6.0,N,N,2.46667,16,0,2.46667,0,12
167,12628,18312,F,North Wilkesboro,NC,28659,2,45,14,7,9.0,N,N,0.0,15,35,0.0,4,12
168,10083,16555,F,Traphill,NC,28685,0,15,1,5,8.0,N,N,3.41111,0,12,3.41111,0,12
169,8668,9030,M,Hays,NC,28635,0,15,1,5,6.0,N,N,0.88333,5,5,0.88333,2,12
170,8079,19658,F,Spindale,NC,28160,0,35,17,5,9.0,N,N,0.0,5,0,,0,12
171,17179,22993,F,Lansing,NC,28643,0,76,15,5,8.0,N,N,,0,7,,0,11
172,7047,6445,M,Forest City,NC,28043,1,52,17,9,8.0,N,N,0.0,0,0,,0,12
173,6148,17379,F,Rutherfordton,NC,28139,0,35,17,5,10.0,N,N,0.0,0,4,,0,12
174,12553,26831,M,Rutherfordton,NC,28139,0,7,9,5,6.0,N,N,4.0,0,0,4.0,0,11
175,12360,877,F,Bryson City,NC,28713,0,47,20,5,8.0,N,N,4.0,1,1,4.0,0,11
176,6890,28879,F,Rutherfordton,NC,28139,0,24,12,5,9.0,N,N,3.59167,3,4,3.4,0,12
177,9679,25088,M,Wilkesboro,NC,28697,0,11,1,2,6.0,N,N,1.0,1,1,1.0,3,12
178,5260,3948,F,North Wilkesboro,NC,28659,0,15,1,5,6.0,N,N,3.28333,1,0,3.28333,0,12
179,303,27417,F,Bostic,NC,28018,0,22,9,5,8.0,N,N,3.13478,1,5,2.8,0,12
180,5607,13694,F,Mooresboro,NC,28114,0,53,9,5,7.0,N,N,,0,0,,0,11
181,3998,10151,M,Morganton,NC,28655,0,34,21,5,8.0,N,N,3.38235,1,1,2.64286,1,11
182,10925,4443,F,Mars Hill,NC,28754,0,31,16,5,8.0,N,N,3.95833,2,1,3.94167,0,11
183,11425,13000,F,Mooresboro,NC,28114,0,53,9,5,7.0,N,N,2.42609,8,6,1.6,4,12
184,5284,23045,F,Valdese,NC,28690,0,49,10,5,6.0,N,N,3.42857,0,0,3.23077,0,11
185,96,20755,M,Marshall,NC,28753,0,31,16,5,8.0,N,N,1.48947,5,3,1.14444,9,11
186,1893,19273,F,Ellenboro,NC,28040,0,22,9,5,7.0,N,N,3.91667,4,0,3.91667,0,11
187,2138,13817,F,Connelly Springs,NC,28612,0,51,10,5,6.0,N,N,3.91667,0,0,3.91667,0,11
188,12981,20196,M,Glen Alpine,NC,28628,0,39,21,1,8.0,N,Y,3.17391,0,0,3.16667,0,11
189,5621,21973,M,Wilkesboro,NC,28697,2,28,14,5,8.0,N,N,2.58214,1,2,2.15,1,11
190,16477,1269,F,Forest City,NC,28043,1,12,17,9,10.0,N,N,0.0,0,0,,0,12
191,11422,28757,M,Crumpler,NC,28617,0,41,15,5,9.0,N,N,0.0,0,0,,0,12
192,11336,4941,M,Warrensville,NC,28693,0,67,2,5,7.0,N,N,2.42857,1,11,2.42857,1,11
193,16192,27087,M,Morganton,NC,28655,0,55,10,5,8.0,N,Y,2.62069,3,0,2.91667,0,12
194,16295,7454,M,Connelly,NC,28612,0,61,21,5,9.0,N,N,3.76471,21,2,4.0,0,12
195,1195,24697,F,Fleetwood,NC,28626,0,69,2,4,6.0,N,N,2.72727,0,1,3.35455,0,12
196,17232,21243,F,Moravian Falls,NC,28654,0,11,1,5,7.0,N,N,4.0,0,0,4.0,0,11
197,16733,28302,M,Bryson City,NC,28713,0,74,3,5,6.0,N,N,2.45,4,11,2.45,0,11
198,2074,9755,M,Rutherfordton,NC,28139,0,6,12,5,8.0,N,N,,0,0,,0,11
199,7710,12975,M,Cherokee,NC,28789,0,47,20,7,8.0,N,N,3.0,1,0,2.36667,2,11
200,14111,26784,F,Warrensville,NC,28693,0,67,2,5,7.0,N,N,4.0,3,6,4.0,0,11
201,9446,28267,M,Brasstown,NC,28902,0,58,7,5,7.0,N,N,3.78182,6,0,3.73333,0,11
202,11028,5751,F,Sparta,NC,28675,0,9,5,5,8.0,N,N,3.45517,1,7,3.35556,0,12
203,14639,15277,F,Robbinsville,NC,28771,0,54,11,5,8.0,N,N,3.85,2,6,3.86667,0,11
204,12997,3202,F,Spindale,NC,28160,0,35,17,4,10.0,N,N,0.0,1,0,,0,12
205,9303,26638,F,Wilkesboro,NC,28697,0,18,1,5,7.0,N,N,3.01786,2,6,2.34167,1,11
206,11763,26901,F,Rutherfordton,NC,28139,1,10,17,9,6.0,N,N,0.0,0,1,,0,12
207,10850,15265,M,Purlear,NC,28665,0,18,1,5,6.0,N,Y,2.78333,0,1,2.78333,0,12
208,296,25049,M,Hays,NC,28635,0,15,1,5,7.0,N,N,2.21667,3,1,2.21667,0,12
209,2785,7864,M,Union Mills,NC,28167,0,24,12,5,9.0,N,N,2.06667,2,3,0.56667,2,12
210,1471,11094,M,Cherokee,NC,28719,0,74,3,7,6.0,N,N,1.74,6,6,1.18571,3,12
211,12593,3725,F,Morganton,NC,28655,0,57,21,5,8.0,N,N,3.58333,0,0,3.41667,0,11
212,6004,24899,M,Morganton,NC,28655,0,39,21,5,8.0,N,N,3.5,0,3,3.25,0,11
213,6096,19015,M,Valdese,NC,28690,0,73,21,5,8.0,N,N,3.45833,0,0,3.16667,0,11
214,2277,26970,M,Fleetwood,NC,28626,0,69,2,5,6.0,N,N,1.24091,2,2,1.18182,1,12
215,15153,24215,F,Blowing Rock,NC,28605,0,13,23,5,9.0,N,N,,15,24,,0,12
216,8808,14145,M,Union Mills,NC,28167,0,6,12,5,8.0,N,N,,0,0,,0,11
217,12869,24641,M,Connelly Springs,NC,28612,0,51,10,5,7.0,N,N,3.625,0,3,3.58333,0,11
218,7360,20615,F,Forest City,NC,28043,0,52,17,2,6.0,N,N,0.0,0,0,,0,12
219,6147,16761,F,Boone,NC,28607,0,13,23,5,9.0,N,N,,11,22,,0,12
220,5184,28349,M,North Wilkesboro,NC,28659,2,45,14,7,9.0,N,N,3.0375,11,13,3.0375,0,12
221,2101,11903,F,Bostic,NC,28018,0,52,17,5,6.0,N,N,0.0,0,0,,0,12
222,16176,25248,M,Bostic,NC,28018,0,22,9,5,6.0,N,N,3.8,0,2,4.0,0,12
223,762,25084,F,Morganton,NC,28655,0,16,10,5,7.0,N,N,3.12903,0,0,2.8125,0,11
224,16084,22429,F,Bryson City,NC,28713,0,74,3,5,6.0,N,N,1.875,4,6,1.875,1,11
225,6479,27092,M,Whittier,NC,28789,0,74,3,4,6.0,N,N,2.12667,0,6,1.2,4,12
226,7090,25504,F,Forest City,NC,28043,1,52,17,9,6.0,N,N,0.0,0,0,,0,12
227,10078,15289,M,Bostic,NC,28018,0,12,17,5,10.0,N,N,0.0,0,0,,0,12
228,1084,13962,M,Cliffside,NC,28024,0,23,17,5,9.0,N,N,0.0,2,1,,0,12
229,14184,16994,F,Connelly Springs,NC,28612,0,51,10,5,7.0,N,N,3.95833,0,0,3.91667,0,11
230,13748,11504,M,Hays,NC,28635,0,15,1,5,8.0,N,N,,4,2,,0,12
231,2944,16401,F,Mc Grady,NC,28649,2,45,14,7,9.0,N,N,4.0,0,21,4.0,0,12
232,9629,1268,M,Roaring River,NC,28669,2,5,14,2,8.0,N,N,3.84286,1,1,3.775,0,11
233,4905,27282,M,Ennice,NC,28623,1,65,5,9,7.0,Y,N,1.76818,15,2,1.55,4,11
234,15964,4008,M,North Wilkesboro,NC,28659,0,11,1,5,6.0,N,Y,1.95,5,6,1.95,1,12
235,12801,14747,M,Connelly Springs,NC,28612,0,51,10,5,7.0,N,Y,3.08333,1,0,2.83333,0,12
236,13383,25588,F,Marshall,NC,28753,0,72,16,5,9.0,N,N,2.0375,41,63,1.71667,7,12
237,6118,20194,F,Boone,NC,28607,0,64,22,5,6.0,N,N,2.97857,4,5,2.52857,0,12
238,17088,23115,F,Forest City,NC,28043,0,53,9,5,7.0,N,N,2.11739,6,4,2.25714,5,12
239,10397,15199,F,Ellenboro,NC,28040,0,23,17,5,10.0,N,N,0.0,0,0,,0,12
240,556,24924,F,Rutherfordton,NC,28139,0,24,12,5,9.0,N,N,1.54,1,3,0.0,3,12
241,1810,23247,M,North Wilkesboro,NC,28659,1,11,1,9,6.0,N,N,3.07143,0,1,2.46667,0,11
242,15985,21385,M,Robbinsville,NC,28771,0,43,13,5,7.0,N,N,3.81667,3,1,3.725,0,12
243,16291,21166,F,Marshall,NC,28753,0,31,16,5,8.0,N,N,3.84167,8,0,3.73333,0,11
244,12665,17484,M,,,,0,25,4,1,7.0,N,N,0.0,0,0,0.0,2,12
245,14769,25927,F,Hickory,NC,28602,0,51,10,5,6.0,N,N,3.70833,0,0,3.5,0,11
246,11613,17044,M,Ronda,NC,28670,0,8,1,5,7.0,N,N,4.0,0,1,4.0,0,12
247,8601,2751,F,Rutherfordton,NC,28139,0,35,17,5,11.0,N,N,0.0,6,0,,0,12
248,7546,26981,F,North Wilkesboro,NC,28659,1,18,1,9,7.0,N,N,3.28571,4,1,2.63333,2,11
249,9400,22273,M,Valdese,NC,28690,0,49,10,5,6.0,N,N,3.28571,4,0,2.84615,0,12
250,1911,26508,F,Hays,NC,28635,0,15,1,5,7.0,N,N,3.7125,0,1,3.7125,0,12
251,17236,25192,M,Lansing,NC,28643,0,76,15,5,8.0,N,N,,0,1,,0,11
252,5518,15506,M,Morganton,NC,28655,1,40,21,9,9.0,N,N,3.6,1,0,,0,12
253,8,22531,F,Rutherfordton,NC,28139,0,7,9,5,8.0,N,N,3.62917,4,1,3.67143,0,12
