person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id
62,72,16,5,9,N,N,1.61667,68,10,0.94167,8,12
63,74,3,5,6,N,N,2.2875,0,0,2.2875,0,11
64,77,2,5,6,N,N,3.07727,5,1,3.30833,0,12
65,9,5,7,6,N,N,3.36,0,0,3.36,0,11
66,52,17,2,6,N,N,0,0,0,NULL,0,12
67,38,13,5,6,N,N,3.33333,0,0,3.33333,0,11
68,67,2,5,8,N,N,3.98125,6,1,3.96667,0,12
69,53,9,5,6,N,N,2.91667,10,1,2.91667,0,11
70,18,1,5,7,N,Y,2.43929,1,0,1.69167,1,11
71,42,12,5,8,N,N,NULL,0,0,NULL,0,11
72,16,10,9,7,N,Y,3.65625,0,0,3.4375,0,11
73,39,21,5,8,N,N,3.875,2,0,3.75,0,11
74,10,17,2,8,N,N,0,4,0,NULL,0,12
75,7,9,5,7,N,N,2.45517,1,0,2.22857,0,12
76,65,5,5,7,N,N,3.84091,3,7,3.80556,0,11
77,0,13,8,NULL,N,N,NULL,0,0,NULL,0,0
78,74,3,5,6,N,N,3.75,0,0,3.75,0,11
79,75,4,5,6,N,N,3.08438,16,24,3.0875,2,11
80,67,2,5,8,N,N,2.73125,8,2,2.76,0,12
81,55,10,5,8,N,N,2.625,2,6,2.08333,1,12
82,51,10,1,6,N,N,3.45833,0,0,3,0,12
83,7,9,5,7,N,N,1.58333,0,0,1.58333,4,11
84,22,9,5,7,N,N,4,0,0,4,0,11
85,23,17,5,10,N,N,0,3,4,NULL,0,12
86,13,23,5,9,N,N,NULL,39,25,NULL,0,12
87,32,21,5,8,N,N,2.04167,0,0,1.84615,2,11
88,16,10,2,6,N,N,3.80645,0,0,3.75,0,11
89,66,12,4,9,N,N,3.03,6,1,3.5,0,12
90,7,9,5,7,N,N,3.02609,0,0,2.67692,0,12
91,73,21,2,8,N,Y,2.81818,3,0,2.83333,0,11
92,74,3,5,7,N,N,3.67333,0,3,3.3,0,12
93,10,17,5,8,N,N,0,0,0,NULL,0,12
94,22,9,9,8,N,N,3.04783,1,2,2.64615,1,12
95,0,1,8,NULL,N,N,NULL,0,0,NULL,0,11
96,15,1,4,6,N,N,2.36429,8,9,1.46667,3,11
97,18,1,5,7,N,Y,3.60357,0,0,3.75833,0,11
98,57,21,5,8,N,N,4,0,0,4,0,11
99,68,14,7,9,N,N,3.34,14,0,3.34,0,12
100,61,21,1,9,N,N,2.25882,30,4,1.73,2,12
101,10,17,5,7,N,N,0,0,0,NULL,0,12
102,9,5,5,6,N,N,1.47391,7,12,0.65,11,12
103,71,21,2,9,N,N,2.435,2,5,2.4125,1,12
104,7,9,5,6,N,N,3.65714,3,13,3.50833,0,12
105,9,5,7,6,N,N,3.92,0,0,3.92,0,11
106,9,5,9,7,N,N,2.025,1,1,0.9,4,12
107,22,9,2,6,N,N,1.63,8,8,1.6625,9,12
108,33,22,5,8,N,Y,2.31765,5,5,2.5125,0,12
109,0,10,8,NULL,N,N,NULL,0,0,NULL,0,0
110,11,1,5,7,N,N,3.85,2,1,3.85,0,12
111,52,17,4,7,N,N,0,0,0,NULL,0,12
112,51,10,5,6,N,N,3.125,3,10,2.66667,1,12
113,22,9,5,8,N,N,1.90455,8,5,1.50909,6,12
114,74,3,5,7,N,N,3.82,0,4,3.61429,0,12
115,25,4,6,7,N,N,3.5,0,0,3.5,0,12
116,18,1,5,7,N,N,3,7,3,3,0,12
117,2,14,2,8,N,N,2.64643,6,0,2.03333,2,11
118,49,10,7,8,N,N,3.33333,2,0,3.15385,0,12
119,74,3,5,7,N,N,NULL,0,0,NULL,0,12
120,67,2,5,7,N,N,3.98,4,4,4,0,12
121,53,9,2,7,N,N,3.096,5,0,2.9,0,12
122,36,10,5,8,N,N,3.70833,0,0,3.58333,0,12
123,51,10,5,6,N,N,3.25,0,0,3.23077,0,11
124,77,2,5,6,N,N,2.83333,7,8,2.83333,0,11
125,52,17,5,7,N,N,0,0,0,NULL,0,12
126,66,12,5,9,N,N,1.9,2,3,1.33333,0,12
127,23,17,4,12,N,N,0,1,0,NULL,0,12
128,74,3,7,6,N,N,2.0875,0,0,2.0875,0,11
129,51,10,5,8,N,N,3.82609,7,1,3.75,0,12
130,2,14,5,8,N,N,3.525,2,10,3.30833,0,11
131,2,14,5,8,N,N,3.90357,1,9,3.775,0,11
132,71,21,5,9,N,N,1.9,27,11,1.06667,4,12
133,22,9,4,7,N,N,3.69231,0,0,3.69231,0,11
134,41,15,9,9,N,N,0,0,0,NULL,0,12
135,7,9,5,8,N,N,3.064,2,2,2.66667,0,12
136,11,1,5,7,N,N,3.9,0,1,3.9,0,12
137,18,1,9,7,N,N,3.17143,1,4,2.48333,2,11
138,74,3,5,7,N,N,3.36,0,8,2.77143,0,12
139,38,13,5,6,N,N,2.29048,0,0,1.75833,3,12
140,65,5,9,6,N,N,3.705,2,0,3.74667,0,12
141,17,19,5,6,N,N,3.85,17,5,3.7,0,12
142,75,4,9,6,N,Y,3.17407,2,0,3.19375,0,11
143,12,17,2,12,N,N,0,2,5,NULL,0,12
144,28,14,5,8,N,N,3.51071,3,6,3.39167,0,11
145,74,3,5,8,N,N,2.73333,0,11,1.78889,3,12
146,49,10,5,7,N,N,3.45833,0,0,3.30769,0,11
147,10,17,5,8,N,N,0,2,0,NULL,0,12
148,41,15,5,9,N,N,0,0,0,NULL,0,12
149,12,17,5,10,N,N,0,0,0,NULL,0,12
150,24,12,4,9,N,N,0.69091,11,0,0,7,12
151,62,12,5,9,N,N,3.67778,9,0,3.85,0,12
152,52,17,5,8,N,N,0,0,0,NULL,0,12
153,47,20,5,8,N,N,3.7,2,4,3.65,0,11
154,23,17,5,10,N,N,0,0,0,NULL,0,12
155,17,19,5,6,N,N,3.69667,0,2,3.54444,0,11
156,42,12,5,8,N,N,NULL,0,0,NULL,0,11
157,25,4,9,6,N,N,3.29615,2,0,2.83333,0,11
158,50,8,5,9,N,N,3.66667,5,34,3.38333,0,12
159,0,9,8,NULL,N,N,NULL,0,0,NULL,0,11
160,7,9,2,6,N,N,3.41667,0,0,3.41667,0,11
161,8,1,5,8,N,N,3.86667,0,0,3.86667,0,12
162,23,17,2,11,N,N,0,4,0,NULL,0,12
163,39,21,9,8,N,N,3.875,0,1,3.91667,0,11
164,55,10,1,6,N,N,2.36,3,0,2.38462,0,12
165,55,10,2,8,N,N,2.52,4,1,1.91667,0,12
166,58,7,5,8,N,N,3.54667,3,0,3.90714,0,12
167,36,10,4,7,N,N,2.75,8,7,2.58333,0,12
168,23,17,5,10,N,N,0,0,0,NULL,0,12
169,16,10,5,7,N,N,3.38889,3,1,3.5,0,12
170,59,8,9,8,N,N,3.44375,2,4,3.30833,0,11
171,53,9,5,7,N,N,3.89167,2,4,3.82308,0,12
172,24,12,5,9,N,N,2.1,16,0,0.9,3,12
173,45,14,7,9,N,N,3.2625,1,6,3.2625,0,12
174,58,7,5,7,N,N,2.76667,3,8,3.05,1,12
175,11,1,9,6,N,N,3.38214,3,5,3.16667,0,11
176,17,19,5,7,N,N,3.47,2,2,3.23333,0,11
177,54,11,5,8,N,N,3.42917,5,2,3.41667,0,11
178,50,8,5,9,N,N,2.52917,24,29,1.47778,4,12
179,4,14,7,9,N,N,3.6375,0,3,3.6375,0,12
180,73,21,5,8,N,N,3.19048,12,3,2.88889,0,11
181,47,20,5,8,N,N,3.575,4,4,3.50833,0,11
182,8,1,5,7,N,Y,3,7,1,3,0,12
183,53,9,5,8,N,N,3.55652,5,1,3.86667,1,12
184,51,10,5,8,N,N,3.77917,4,2,3.64167,0,12
185,56,5,7,6,N,N,4,0,0,4,0,11
186,33,22,5,6,N,N,3.93333,0,4,3.85714,0,12
187,73,21,5,8,N,N,1.75,11,0,1.35714,6,11
188,8,1,5,6,N,Y,3.28333,5,2,3.28333,0,12
189,7,9,5,7,N,N,NULL,0,0,NULL,0,11
190,3,12,5,8,N,N,NULL,0,0,NULL,0,11
191,12,17,5,9,N,N,0,2,2,NULL,0,12
192,58,7,5,7,N,N,3.88182,10,1,3.8619,0,11
193,53,9,9,6,N,N,0,0,0,NULL,0,12
194,3,12,5,8,N,N,NULL,0,0,NULL,0,11
195,23,17,2,10,N,N,0,1,1,NULL,0,12
196,60,21,5,9,N,N,3.65625,14,11,3.6375,0,12
197,0,9,8,NULL,N,N,NULL,0,0,NULL,0,11
198,17,19,5,6,N,N,4,0,2,4,0,11
199,52,17,5,6,N,N,0,0,0,NULL,0,12
200,26,14,7,9,N,N,NULL,10,7,NULL,0,12
201,22,9,5,6,N,N,3.66667,3,2,3.66667,0,11
202,68,14,7,9,N,N,2.56667,10,0,2.56667,0,12
203,0,10,8,NULL,N,N,NULL,0,0,NULL,0,11
204,55,10,9,8,N,N,3.16,6,1,2.58333,0,12
205,43,13,5,7,N,N,2,0,14,2,0,11
206,11,1,4,6,N,N,2.225,16,0,2.225,0,12
207,10,17,5,7,N,N,0,0,0,NULL,0,12
208,0,1,8,NULL,N,N,NULL,0,0,NULL,0,0
209,55,10,5,8,N,N,2.57143,0,0,3,0,12
210,62,12,5,9,N,N,3.89286,3,0,3.8,0,12
211,55,10,5,6,N,N,3.83333,1,6,3.75,0,11
212,43,13,5,7,N,N,3.45556,2,1,3.20833,0,12
213,35,17,5,10,N,N,0,0,0,NULL,0,12
214,12,17,5,10,N,N,0,1,0,NULL,0,12
215,28,14,9,8,Y,N,3.88214,6,3,3.83333,0,11
216,73,21,5,8,N,N,4,3,1,4,0,11
217,67,2,5,7,N,N,3.66667,0,3,3.66667,0,11
218,42,12,5,8,N,N,NULL,0,0,NULL,0,11
219,32,21,5,8,N,N,3.45833,0,0,3.33333,0,11
220,47,20,5,8,N,Y,3.0125,2,0,2.64167,0,11
221,49,10,1,6,N,N,3.53571,0,3,3.23077,0,11
222,15,1,5,7,N,N,3.20357,8,0,2.475,0,11
223,41,15,5,9,N,N,0,0,0,NULL,0,12
224,28,14,5,8,N,N,3.98929,2,1,3.975,0,11
225,23,17,5,12,N,N,0,3,0,NULL,0,12
226,52,17,5,6,N,N,0,0,0,NULL,0,12
227,51,10,5,8,N,Y,3.45833,2,2,3.41667,0,12
228,67,2,5,8,N,Y,3.2125,3,1,3.05833,0,12
229,22,9,5,6,N,N,2.50455,10,3,1.94545,1,12
230,58,7,5,6,N,N,3.26129,11,5,3.38,0,12
231,17,19,5,8,N,N,3.90417,2,0,3.80833,0,12
232,52,17,5,7,N,N,0,0,0,NULL,0,12
233,15,1,5,8,N,Y,3.08333,5,3,3.08333,0,12
234,67,2,9,7,N,N,3.23571,0,0,2.88889,0,12
235,7,9,5,7,N,N,1.30769,0,0,1.30769,7,11
236,40,21,5,9,N,N,3.36875,17,33,3.4875,0,12
237,0,9,8,NULL,N,N,NULL,0,0,NULL,0,11
238,67,2,5,8,N,N,4,1,2,4,0,12
239,20,17,5,8,N,N,0,0,0,NULL,0,12
240,16,10,5,7,N,N,3.83333,0,1,3.66667,0,11
241,49,10,5,8,N,N,3.25926,5,0,3,1,12
242,24,12,5,9,N,N,3.9625,4,3,3.7,0,12
243,62,12,5,9,N,N,3.62,4,0,3.6,0,12
244,71,21,5,9,N,N,3.49375,10,0,3.1625,0,12
245,64,22,5,7,N,N,3.47949,0,9,3.05833,0,11
246,73,21,5,8,N,N,2.46429,4,5,1.84615,1,11
247,18,1,9,6,Y,N,NULL,0,0,NULL,0,12
248,77,2,5,6,N,N,3.33333,4,7,3.33333,0,11
249,15,1,9,7,Y,N,4,1,5,4,0,12
250,7,9,5,6,N,N,0.25,4,2,0.25,17,11
251,53,9,5,6,N,N,3.16667,38,0,3.16667,0,11
252,11,1,5,6,N,N,2.45,5,3,2.45,1,12
253,9,5,9,6,N,N,1.87826,13,1,0.78333,8,12
254,72,16,5,9,N,N,2.54167,12,24,2.05833,3,12
255,55,10,5,7,N,Y,2.27778,7,0,1.66667,0,11
256,15,1,5,7,N,N,1.3875,4,1,1.3875,3,12
257,36,10,5,8,N,N,2.92917,8,2,2.58333,0,12
258,17,19,5,6,N,N,3.57143,0,5,3.40769,0,11
259,11,1,4,8,N,N,1.78333,0,5,1.78333,0,12
260,18,1,5,6,N,Y,2.73929,3,0,2.25833,1,11
261,22,9,4,6,N,N,3,0,0,3,1,11
262,43,13,5,7,N,N,4,0,0,4,0,12
263,35,17,5,10,N,N,0,1,0,NULL,0,12
264,75,4,9,6,N,N,3.20833,12,5,3.20833,0,12
265,76,15,5,8,N,N,NULL,2,6,NULL,0,11
266,20,17,5,8,N,N,0,3,1,NULL,0,12
267,55,10,5,7,N,N,3.25,0,0,2.91667,0,11
268,17,19,9,6,N,N,2.99333,10,3,2.68889,0,11
269,51,10,5,8,N,N,3.92083,3,5,3.84167,0,12
270,40,21,5,9,N,N,3.63125,11,12,3.45,0,12
271,16,10,5,7,N,N,2.94444,6,4,2.5,0,12
272,68,14,7,9,N,N,3.16667,14,16,3.16667,0,12
273,11,1,5,6,N,N,3.88214,1,1,3.725,0,11
274,60,21,4,9,N,N,3.04375,22,0,2.5875,0,12
275,69,2,5,6,N,N,4,3,1,4,0,11
276,67,2,5,7,N,N,4,0,4,4,0,11
277,57,21,5,8,N,N,3.5,0,0,3.30769,0,11
278,46,14,5,8,N,N,3.39286,1,1,2.88333,0,11
279,52,17,5,8,N,N,0,0,0,NULL,0,12
280,17,19,5,8,N,N,3.92083,6,4,3.84167,0,12
281,23,17,5,10,N,N,0,3,0,NULL,0,12
282,15,1,2,6,N,N,3.675,0,0,3.26667,0,11
283,55,10,5,7,N,N,3.45833,0,4,3.23077,0,11
284,35,17,5,10,N,N,0,0,1,NULL,0,12
285,76,15,5,8,N,N,NULL,5,8,NULL,0,11
286,17,19,5,8,N,N,3.95833,1,0,3.91667,0,12
287,17,19,5,6,N,N,3.85,7,4,3.725,0,12
288,36,10,5,7,N,N,3.75,7,1,3.66667,0,12
289,40,21,5,9,N,N,3.2875,7,4,2.93333,0,12
290,43,13,5,7,N,N,3.16667,6,12,3.16667,0,11
291,53,9,5,7,N,N,3,4,8,3,0,11
292,15,1,5,6,N,N,3.175,3,8,2.45833,1,11
293,55,10,5,7,N,N,3.52174,0,2,3.25,0,11
294,20,17,2,8,N,N,0,0,0,NULL,0,12
295,74,3,5,6,N,N,NULL,0,0,NULL,0,12
296,7,9,5,7,N,N,2.66667,0,0,2.66667,0,11
297,16,10,9,6,N,N,3.35484,0,2,3,1,11
298,41,15,5,9,N,N,0,0,0,NULL,0,12
299,22,9,5,8,N,N,3.07619,13,3,2.71818,1,12
300,0,5,8,NULL,N,N,NULL,0,0,NULL,0,11
301,76,15,5,8,N,N,NULL,0,7,NULL,0,11
302,49,10,5,7,N,N,3.75,0,0,3.66667,0,12
303,7,9,5,7,N,N,3.89,1,2,3.81,0,12
304,35,17,5,9,N,N,0,0,5,NULL,0,12
305,51,10,5,7,N,N,4,0,0,4,0,12
306,35,17,5,11,N,N,0,2,0,NULL,0,12
307,58,7,5,7,N,N,2.82222,6,14,2.94286,0,12
308,66,12,5,9,N,N,3.2125,7,2,1.9,0,12
309,15,1,9,6,N,N,3.96429,1,0,3.94167,0,11
310,20,17,5,7,N,N,0,0,0,NULL,0,12
311,4,14,7,9,N,N,1.61667,0,0,1.61667,1,12
312,36,10,5,6,N,N,3.79167,2,1,3.58333,0,12
313,33,22,5,6,N,Y,3.19655,1,3,2.225,0,11
314,51,10,5,8,N,N,3.75417,4,8,3.50833,0,12
315,53,9,4,7,N,N,3.01786,10,5,2.69231,0,12
316,11,1,5,7,N,N,2.85,1,2,2.56667,1,11
317,52,17,2,6,N,N,0,0,0,NULL,0,12
318,22,9,5,7,N,N,0,0,0,NULL,0,12
319,66,12,5,9,N,N,3.82,3,0,3.7,0,12
320,20,17,5,7,N,N,0,0,0,NULL,0,12
321,58,7,5,7,N,N,1.99259,5,6,2.22857,1,12
322,1,22,5,8,N,N,3.54375,3,2,3.2125,0,12
323,23,17,5,10,N,N,0,1,4,NULL,0,12
324,48,23,5,8,N,N,3.05278,3,18,2.30833,1,11
325,36,10,2,8,N,Y,3.5,1,3,3.5,0,12
326,0,10,8,NULL,N,N,NULL,0,0,NULL,0,11
327,49,10,5,6,N,N,3.14286,0,0,2.71429,0,11
328,55,10,5,7,N,N,3.34516,2,2,3.2,0,12
329,57,21,5,8,N,N,3.75,1,4,3.5,0,11
330,0,1,8,NULL,N,N,NULL,0,0,NULL,0,11
331,52,17,5,7,N,N,0,0,0,NULL,0,12
332,65,5,5,7,N,N,2.385,11,9,2.19375,0,11
333,52,17,5,6,N,N,0,0,0,NULL,0,12
334,58,7,5,8,N,N,1.99024,4,1,2.23333,4,12
335,23,17,5,9,N,N,0,5,4,NULL,0,12
336,43,13,5,7,N,N,3,6,9,3,0,11
337,61,21,5,9,N,N,2.05882,48,22,0.875,4,12
338,8,1,5,6,N,N,3.85714,3,6,3.75,0,11
339,16,10,4,6,N,Y,2.3125,10,0,2,5,12
340,55,10,5,7,N,N,3.76,8,0,3.83333,0,12
341,35,17,5,11,N,N,0,0,0,NULL,0,12
342,18,1,5,6,N,N,1.55,3,4,1.55,1,12
343,22,9,5,7,N,N,3.272,1,2,3.4,1,12
344,0,3,8,NULL,N,N,NULL,0,0,NULL,0,11
345,36,10,1,6,N,N,3.41667,5,0,2.91667,0,12
346,52,17,5,7,N,N,0,0,0,NULL,0,12
347,36,10,5,7,N,N,3.16667,0,0,3.23077,0,11
348,49,10,2,7,N,N,3.46429,1,0,3.15385,0,12
349,77,2,5,6,N,N,2.74545,4,2,2.75833,0,12
350,35,17,5,11,N,N,0,1,0,NULL,0,12
351,13,23,5,9,N,N,NULL,20,2,NULL,0,12
352,61,21,5,9,N,N,3.04118,22,6,2.75,1,12
353,17,19,5,7,N,N,4,4,4,4,0,11
354,23,17,5,9,N,N,0,9,9,NULL,0,12
355,18,1,5,6,N,N,4,0,5,4,0,12
356,51,10,5,6,N,N,3.58333,5,2,3.41667,0,12
357,0,10,8,NULL,N,N,NULL,0,0,NULL,0,11
358,23,17,5,10,N,N,0,0,1,NULL,0,12
359,17,19,5,8,N,N,2.48462,0,0,1.98333,0,12
360,23,17,5,10,N,N,0,1,0,NULL,0,12
361,9,5,9,8,N,N,3.24828,3,12,3.07222,0,12
362,52,17,2,6,N,N,0,0,0,NULL,0,12
363,51,10,5,7,N,N,3,4,2,2.84615,0,12
364,7,9,5,7,N,N,2.38261,2,4,1.80833,3,12
365,2,14,5,8,N,N,3.64643,2,1,3.175,0,11
366,15,1,5,6,N,Y,2.425,0,1,2.425,0,12
367,11,1,5,6,N,N,3.89643,1,1,3.78333,0,11
368,51,10,5,6,N,N,2.41667,17,8,1.66667,1,11
369,55,10,2,6,N,Y,2.8,3,2,2.58333,1,11
370,50,8,5,9,N,N,3.82083,38,4,3.7,0,12
371,27,22,5,8,N,Y,3.27692,8,6,3.075,1,12
372,7,9,5,7,N,N,3.25,0,0,3.25,0,11
373,53,9,4,8,N,N,1.10952,9,3,0.69167,12,12
374,7,9,1,8,N,N,3.91071,0,1,3.90625,0,12
375,18,1,5,7,N,N,3.85714,0,1,3.66667,0,11
376,12,17,9,9,N,N,0,0,9,NULL,0,12
377,52,17,5,8,N,N,0,0,0,NULL,0,12
378,51,10,5,8,N,N,1.75,4,0,0.91667,3,12
379,66,12,2,9,N,N,3.2,8,2,2.5,0,12
380,30,2,5,6,N,N,3.66667,4,3,3.66667,0,11
381,49,10,5,7,N,N,3.75,0,0,3.69231,0,11
382,17,19,5,6,N,N,3.85,11,3,3.725,0,12
383,15,1,5,7,N,N,2.71667,6,2,2.71667,0,12
384,74,3,7,8,N,N,3.22778,1,5,3,0,12
385,43,13,5,7,N,N,2.78333,4,1,2.36667,1,12
386,36,10,5,7,N,N,3.56522,0,0,3.41667,0,11
387,50,8,5,9,N,N,2.71875,20,0,1.87143,0,12
388,11,1,5,7,N,N,3.83333,2,2,3.83333,0,12
389,68,14,7,9,Y,N,2.58182,12,3,2.58182,0,12
390,20,17,5,8,N,N,0,6,4,NULL,0,12
391,62,12,5,9,N,N,3.55,13,0,3.76667,0,12
392,43,13,5,7,N,N,3.83333,0,0,3.83333,0,11
393,30,2,9,6,N,N,3.83333,1,7,3.83333,0,11
394,74,3,5,6,N,N,4,3,1,4,0,11
395,11,1,5,7,N,N,3.10357,5,5,2.46667,0,11
396,67,2,5,7,N,N,3.63333,10,1,3.58,0,12
397,6,12,4,8,N,N,NULL,0,0,NULL,0,11
398,65,5,9,6,N,N,3.495,4,1,3.52,0,12
399,0,10,8,NULL,N,N,NULL,0,0,NULL,0,11
400,7,9,5,7,N,N,2.25417,4,3,1.93571,5,12
401,16,10,2,6,N,N,2.73171,3,0,2.63158,0,12
402,0,22,8,NULL,N,N,NULL,0,0,NULL,0,0
403,22,9,5,6,N,N,3.86087,3,1,3.73333,0,12
404,18,1,5,7,N,N,1.5,1,2,1.5,2,12
405,49,10,5,8,N,N,2.55556,6,1,2.15385,1,12
406,12,17,5,10,N,N,0,1,0,NULL,0,12
407,51,10,5,6,N,N,2.54167,4,10,1.69231,3,12
408,36,10,9,7,N,N,3.75,0,0,3.58333,0,11
409,7,9,5,8,N,N,2.99048,0,4,2.7,0,12
410,10,17,5,7,N,N,0,1,0,NULL,0,12
411,53,9,5,6,N,N,2.83333,5,0,2.83333,0,11
412,72,16,5,9,N,N,2.78333,28,23,2.175,2,12
413,40,21,5,9,N,N,1.14375,43,50,0.9125,7,12
414,3,12,5,8,N,N,NULL,0,0,NULL,0,11
415,40,21,5,9,N,N,3.075,9,43,3.0125,0,12
416,43,13,5,7,N,N,3.25556,3,3,2.94167,0,12
417,23,17,5,11,N,N,0,3,0,NULL,0,12
418,57,21,5,8,N,Y,2.25,0,0,1.58333,1,11
419,23,17,5,9,N,N,0,6,0,NULL,0,12
420,36,10,9,8,N,N,3.125,2,3,2.69231,0,12
421,10,17,5,8,N,N,0,0,0,NULL,0,12
422,51,10,5,6,N,N,3.83333,4,0,3.83333,0,12
423,71,21,5,9,N,N,2.93125,127,4,2.21667,2,12
424,20,17,5,8,N,N,0,0,0,NULL,0,12
425,60,21,5,9,N,N,3.03125,24,5,2.475,0,12
426,64,22,5,7,N,N,3.94318,5,4,3.79167,0,11
427,26,14,7,9,N,N,2.81667,9,2,2.81667,0,12
428,8,1,5,7,N,N,4,1,0,4,0,11
429,51,10,1,7,N,N,3.66667,0,0,3.38462,0,12
430,74,3,5,7,N,N,NULL,0,0,NULL,0,12
431,74,3,5,6,N,N,3.5125,2,9,3.5125,0,11
432,23,17,1,9,N,N,0,0,1,NULL,0,12
433,7,9,5,7,N,N,1.41667,10,1,1.41667,8,11
434,36,10,5,6,N,N,3.5,0,0,3.16667,0,11
435,68,14,7,9,N,N,0.33333,153,80,0.33333,5,12
436,15,1,5,8,N,Y,3.15,0,2,3.15,0,12
437,32,21,5,8,N,N,3.29167,10,1,2.91667,0,11
438,46,14,5,8,N,N,3.92143,3,0,3.86667,0,11
439,55,10,5,8,N,N,3.42308,7,5,3.25,0,12
440,49,10,9,6,Y,N,2.96667,1,0,2.75,0,11
441,68,14,7,9,N,N,1.125,46,0,1.125,5,12
442,17,19,5,7,N,N,3.58182,0,0,3.5,0,12
443,20,17,5,8,N,N,0,0,0,NULL,0,12
444,43,13,5,7,N,N,2.83333,0,0,2.83333,0,11
445,53,9,5,6,N,N,3.42381,0,1,3.50833,0,12
446,58,7,5,6,N,N,3.00323,7,3,3.02667,0,12
447,71,21,9,9,N,N,2.01667,0,2,2.25625,1,12
448,53,9,5,7,N,N,NULL,0,0,NULL,0,11
449,17,19,5,7,N,Y,2.28,6,1,1.86667,2,11
450,53,9,5,7,N,N,NULL,0,0,NULL,0,11
451,66,12,2,9,N,N,2,4,2,0,3,12
452,20,17,5,8,N,N,0,0,0,NULL,0,12
453,70,6,5,8,N,N,3.875,3,5,3.875,0,11
