student_id_new,acct_id_new,person_detail_id_new
538,114,25113
5584,115,6670
9833,116,26704
10218,117,3340
4747,118,4998
4747,118,11345
14615,119,12896
14615,119,16331
771,120,1350
771,120,21461
8002,121,2833
8002,121,29446
2070,122,2133
2070,122,16321
7081,123,11090
14412,124,18192
14412,124,26058
14412,124,26278
1488,125,16933
1488,125,25871
15128,126,2081
15128,126,19660
7908,127,12495
7908,127,22557
9055,128,18689
9055,128,21752
8667,129,11284
8667,129,21537
9402,130,7328
5612,131,11983
5612,131,22602
13609,132,16434
13609,132,19575
13609,132,23107
15222,133,5996
15222,133,23480
8291,134,20177
8291,134,21763
5721,135,284
493,136,20491
792,137,6849
792,137,22738
15273,138,3102
15273,138,7357
1359,139,26639
1359,139,29395
13346,140,503
13346,140,6398
5479,141,1313
15428,142,9091
15428,142,11766
1524,143,5801
1524,143,16478
11777,144,11707
11777,144,23944
11777,144,26824
12719,145,13524
12719,145,27888
12431,147,7297
4750,149,28844
10849,150,12941
10849,150,15225
5409,151,6981
5409,151,24351
10097,152,28266
9781,153,15502
9781,153,24084
8395,154,1069
8395,154,24407
8307,155,11977
8307,155,13555
566,156,24572
566,156,24633
9897,157,12952
9897,157,28014
14297,158,10655
16161,159,11478
15263,160,8367
15263,160,12563
1375,161,11593
1375,161,15490
9736,162,3677
9736,162,10132
645,163,5310
645,163,11055
645,163,17500
11902,164,17422
11902,164,26503
5536,165,28389
3136,166,6776
4308,167,4492
4308,167,21508
8162,168,16829
8162,168,22004
8408,169,16657
5511,170,15294
5511,170,15394
592,171,6683
592,171,7221
9960,172,9933
9960,172,27374
8167,173,156
8167,173,23797
8167,173,27873
619,174,24092
1494,175,2574
1494,175,9267
15332,176,16763
14197,177,13693
14197,177,27388
4087,178,14628
4087,178,15822
4087,178,27169
14250,179,9244
14250,179,11280
8365,180,16213
8365,180,21193
8365,180,21770
517,181,13260
517,181,16936
1639,183,2232
1639,183,29180
5121,184,16254
5121,184,21643
8748,185,26007
22,186,5106
22,186,23481
22,186,28926
15687,187,20990
15687,187,29128
10445,188,29318
6641,189,1639
6641,189,12492
6641,189,27148
5589,191,2259
14053,192,5079
11432,193,3630
11432,193,25852
15511,194,15605
15511,194,17136
15511,194,20195
11621,195,9616
11621,195,16855
7271,196,1178
7271,196,17103
13988,197,18245
13988,197,19502
8763,199,2896
8763,199,10811
15387,200,5734
15387,200,18201
1994,201,20528
3868,202,6513
3868,202,19478
3868,202,20540
14675,203,7830
14675,203,27602
5122,204,4905
5122,204,21485
13260,206,8031
13260,206,23665
7396,207,26799
7396,207,28824
5945,209,11315
5945,209,19263
948,210,1039
948,210,16494
12062,211,25947
14129,212,23055
940,214,20083
5033,215,2445
5033,215,4269
12739,216,16124
12739,216,24153
10777,217,27913
6794,218,13236
6794,218,15407
9268,219,1073
9268,219,25806
9268,219,26374
2567,220,17029
11730,221,11760
11730,221,18518
15179,222,7981
15179,222,24074
11368,223,23313
11368,223,25614
3061,225,22242
9823,226,28798
10149,227,11354
10149,227,18463
8188,228,7139
11855,229,18506
8155,230,8707
8155,230,18616
513,231,13436
513,231,13789
6998,232,1565
6998,232,13036
12241,233,17086
4605,234,7074
4605,234,22846
6771,235,2684
6771,235,24696
8999,236,10050
8999,236,25929
9577,237,3922
9577,237,20350
2190,238,6502
2190,238,25725
8576,239,6354
3878,240,2462
12387,241,2935
12387,241,18360
13297,242,2695
13297,242,18802
1602,243,19173
9393,244,19284
8549,245,20391
8549,245,24251
10423,246,26755
12793,247,16856
12419,248,20716
12419,248,26055
11998,249,3390
11998,249,21986
13653,250,1463
13653,250,3736
13653,250,11192
8824,251,7237
8824,251,19536
9231,253,26537
11456,254,22608
11456,254,22660
15915,255,27429
13648,256,3695
13648,256,6922
13648,256,24056
14851,257,13099
13067,258,10563
13067,258,16093
13067,258,22213
1828,259,27079
8819,260,728
8819,260,3618
8819,260,5759
411,262,26849
14360,263,11114
14360,263,17526
3278,264,14760
3278,264,26864
5463,265,10284
5463,265,21487
14999,267,6921
14999,267,23470
12821,268,14059
12821,268,25421
15729,269,8675
15729,269,24679
12881,270,16956
12881,270,18112
12881,270,21609
12296,271,363
13396,272,29033
13056,273,3812
3717,275,6876
3717,275,18969
3932,276,25232
7741,277,17809
14701,278,24743
4680,279,14644
4680,279,17852
4680,279,22055
8326,280,1452
8326,280,19703
8326,280,25967
14823,281,16998
15761,282,18923
9801,283,2169
9801,283,17468
7165,284,11098
7165,284,20262
4721,285,20498
4721,285,26579
8257,286,11563
8257,286,21152
8257,286,22673
7919,287,11228
8173,288,24552
8173,288,27595
6517,289,7400
6517,289,15931
6517,289,16563
9666,290,5101
11535,291,16226
11535,291,29342
5598,292,15719
11624,293,10102
11624,293,11592
3253,294,8070
3253,294,15636
13676,295,11150
208,296,3757
208,296,25049
10863,297,13136
10729,298,20795
10729,298,23911
1229,300,11276
1229,300,11557
5055,301,15499
15837,302,4371
15837,302,5872
179,303,1282
179,303,24803
179,303,27417
8205,304,8590
8205,304,10345
8205,304,27008
4482,305,2669
4482,305,8499
4482,305,15511
310,306,2488
8769,307,8724
8769,307,23816
10492,309,7637
1321,310,15982
11284,311,4380
11284,311,7949
11067,312,250
11067,312,21005
11067,312,22129
10841,313,1643
10841,313,2699
762,316,21903
15665,317,623
15665,317,10547
1773,318,25376
1773,318,28587
12500,319,24062
5112,320,16578
5112,320,25265
9114,321,23635
5330,322,26680
5330,322,28254
15969,323,10222
15969,323,25860
15097,324,14616
15097,324,29302
15033,325,3985
15033,325,14296
9901,326,5322
9901,326,5406
7740,327,980
7740,327,4751
7387,328,22960
7387,328,24227
3882,329,4036
3882,329,20777
4682,330,10588
4682,330,19812
4682,330,26539
1709,331,12729
1709,331,13091
6989,332,6371
6989,332,8487
6989,332,19027
5471,333,6318
5471,333,22037
2444,334,18091
2444,334,24546
2444,334,28686
4095,335,4733
2162,336,6284
2162,336,24465
8860,337,1323
10427,338,10219
10427,338,21822
8066,339,6366
15585,341,20788
6967,342,5749
6148,343,5885
6148,343,12995
6148,343,13880
8087,344,7356
1105,345,3813
13571,346,25279
12703,347,2139
12703,347,16827
9653,349,13804
9653,349,14374
268,350,17515
3507,351,26091
5337,352,5486
5337,352,15805
616,353,675
616,353,5277
10702,355,12531
10702,355,22612
6547,356,3986
6547,356,18776
308,357,727
308,357,8271
308,357,18452
2395,358,14553
4950,359,5795
3941,360,20371
279,361,13063
9395,362,23993
9395,362,27674
9424,363,26135
7889,364,7320
7889,364,15350
1063,365,2282
1063,365,14613
14153,366,26582
6841,367,14535
7347,368,676
7347,368,21855
7347,368,25657
7935,369,1760
7935,369,13212
7935,369,28620
12573,370,975
12573,370,5838
12573,370,16591
1497,371,24159
3579,372,346
3579,372,2294
3579,372,16788
12941,373,1574
12941,373,26216
5311,374,5957
5311,374,9472
14062,375,13531
14062,375,29250
15653,376,13280
7410,378,13287
7410,378,27302
11000,379,11658
11000,379,18315
11000,379,26052
1882,380,12248
12462,381,14281
14965,382,10270
10378,383,15855
10564,384,14318
10564,384,16781
7984,385,19652
12602,386,786
12602,386,13525
8921,387,29435
5052,388,8567
5052,388,15603
5052,388,28351
15564,389,13867
15564,389,20688
15564,389,23342
10315,390,17142
10315,390,19195
15823,391,11291
15823,391,18497
11437,393,24887
5110,394,20945
5110,394,24312
11618,395,20192
11618,395,25638
12277,396,4204
15211,397,13424
15211,397,21297
14207,398,1389
14207,398,25216
2457,399,1897
2457,399,15693
5916,400,6846
4918,401,10045
4918,401,22556
522,402,16942
12671,403,12724
8523,404,9373
10746,405,24335
10746,405,27009
8496,406,6539
8496,406,11630
13108,407,4022
3515,408,5924
3515,408,10534
9891,409,13910
9891,409,26104
3474,411,23811
3474,411,28812
6770,413,14103
6770,413,23827
6770,413,26108
15238,414,1355
15238,414,2344
1170,415,14871
650,416,7008
650,416,20265
650,416,27445
14955,417,10959
13596,419,22647
10587,420,7720
10587,420,29285
4078,421,5864
13199,422,8264
13199,422,29419
13951,423,7383
14972,424,22286
14972,424,27669
9265,425,1589
9265,425,27325
556,426,6314
556,426,10577
556,426,18200
13730,427,505
13730,427,11436
13730,427,12021
7946,428,25235
7946,428,29448
11053,429,3459
11053,429,14249
11053,429,20040
10006,430,2911
10006,430,18833
4714,432,27431
10760,433,8816
11498,434,21067
11498,434,27176
1724,435,3342
1724,435,16301
7376,436,7653
7376,436,20442
3491,437,22143
3491,437,28727
1096,438,8014
1096,438,9802
1096,438,21278
1841,439,10822
15056,440,19294
14702,441,23033
6510,442,16240
15470,443,24664
8593,444,8254
8593,444,23897
8593,444,28477
14903,445,702
14903,445,16029
14903,445,20764
3155,446,6119
3155,446,8600
5038,447,27661
7676,448,4173
7676,448,10973
7676,448,24972
1159,449,10908
1159,449,14384
690,450,4870
690,450,24799
12364,451,12716
12364,451,18805
6726,452,1628
6726,452,3582
8144,453,3997
8144,453,4747
9273,454,4444
9273,454,18216
9273,454,24802
2632,455,17117
2632,455,19786
11797,456,16802
13069,457,6658
13069,457,13943
8134,459,6919
5129,460,13798
4436,462,14174
4436,462,26391
15271,463,6730
2640,464,13084
2640,464,14503
10996,465,22597
13298,466,3138
6982,467,20715
2804,468,5250
2804,468,7374
951,469,13629
951,469,22877
951,469,24770
8928,470,25545
8928,470,27961
1919,471,11937
1919,471,29437
3769,472,3746
3769,472,21599
14889,473,2926
14889,473,25616
1258,474,20165
1258,474,26239
3324,475,3081
9293,476,11783
9293,476,22528
1324,477,4142
1324,477,8791
1347,478,15427
1347,478,22824
1347,478,28459
11319,479,268
11319,479,17931
10286,480,4315
10286,480,20201
12844,481,10805
12844,481,15960
11707,482,9601
10482,483,29312
1614,484,6186
1614,484,27720
10768,485,13361
10768,485,27368
10768,485,28421
8071,486,7796
8071,486,27088
12545,487,6945
12545,487,28557
13509,488,13599
13509,488,16053
654,489,11993
654,489,15525
3535,490,17382
16232,491,101
16232,491,2424
16232,491,16384
14370,492,13191
12817,493,412
11570,494,2757
11570,494,14829
11570,494,25861
14398,495,18989
14398,495,19380
15485,496,8623
15485,496,25593
12919,497,7492
12919,497,11446
12919,497,15818
13997,498,15997
13997,498,22505
8686,499,5934
8686,499,16630
8686,499,23549
7143,500,19430
3628,501,7777
2897,502,8762
2897,502,18835
2100,504,6200
2100,504,18732
2100,504,24405
4018,505,16878
6700,506,18000
6700,506,23197
9063,507,21602
13674,508,11488
2681,509,2087
2681,509,27823
2681,509,29053
12138,510,12842
11305,511,22981
11305,511,24357
12578,512,18346
12578,512,27973
10372,513,8384
10372,513,18136
7413,514,12121
7413,514,24909
7413,514,27002
5340,515,20567
5340,515,25270
8253,516,16047
16229,517,21683
1629,518,25933
15369,519,9568
15369,519,27156
10280,520,574
10280,520,17072
10280,520,22578
1598,521,1542
1598,521,8207
14005,522,20682
14005,522,23812
10883,523,8602
10883,523,21675
9708,525,23625
2889,526,21527
2889,526,26730
15046,527,10730
15046,527,13169
9611,528,21050
1341,529,27931
3623,530,15430
3623,530,20266
3623,530,26681
6899,531,26246
12971,532,8951
12971,532,12460
5216,533,14402
5216,533,19386
5216,533,21940
9031,534,12392
9031,534,23019
6767,535,21787
10991,536,819
10991,536,19526
446,537,17383
132,538,22713
8154,539,21968
11399,541,15788
3679,542,9128
3679,542,16291
7793,543,21526
7793,543,23013
10850,544,6080
1239,545,8413
1239,545,13797
15074,546,11207
15074,546,26809
3329,547,16231
7735,548,19149
7735,548,28947
15347,550,6408
15347,550,27955
8849,551,27971
14920,552,17246
12813,553,10185
12813,553,14138
3689,554,15873
3689,554,17906
5391,555,645
5391,555,14398
240,556,9229
240,556,19144
240,556,24924
12555,557,4395
8733,558,19005
14943,559,1435
14943,559,4738
10144,560,27120
13055,561,17483
13055,561,19489
15177,562,15333
15177,562,20358
6039,563,23597
6039,563,27480
1496,564,21928
16064,565,14903
16064,565,24139
1460,566,12779
1460,566,19731
1460,566,23810
4907,567,6572
4907,567,8282
9586,568,13080
9586,568,29117
4496,569,25971
1795,570,14722
1795,570,16359
6993,571,21052
6993,571,24907
11828,572,20446
11828,572,28799
14088,573,4851
14088,573,11164
11823,574,18715
10100,575,21056
10100,575,22079
10100,575,23319
5192,576,3376
5192,576,6710
11296,577,4229
6349,578,1804
13404,579,14095
12360,580,19985
9951,581,1503
9951,581,6260
9951,581,16612
9614,582,23520
140,583,24612
9421,584,7961
11829,585,13133
7466,586,28215
2117,587,9763
2117,587,28072
4822,588,9977
4822,588,18232
4822,588,27616
8247,589,18059
8247,589,19067
1213,590,21382
1213,590,24093
8073,591,3748
8073,591,25415
5778,592,22879
13065,593,4994
13065,593,7151
8726,594,11718
8726,594,13766
7873,595,12534
7873,595,26382
1838,596,11798
1838,596,17999
11993,597,13200
11993,597,17974
11993,597,27426
1188,598,8814
1188,598,26432
2130,599,13208
2130,599,27729
5382,601,7770
5382,601,21688
9480,602,3845
9480,602,16934
11645,604,26306
10093,605,8644
2414,606,6102
2414,606,29042
6846,608,17674
6846,608,26972
5889,609,15777
5889,609,19762
5889,609,23170
3775,610,16896
3775,610,25980
3775,610,29392
2015,611,14453
3946,612,414
3946,612,11854
3946,612,22908
9234,613,21762
14260,615,2008
14260,615,25922
5000,616,8725
4233,617,4353
4233,617,5891
4233,617,19815
10949,618,20870
10949,618,23258
10738,619,23919
14682,620,5487
14682,620,15334
5929,621,15165
1237,622,7079
1237,622,10441
1237,622,18850
3296,623,6268
3296,623,16034
9174,624,23437
9977,625,6728
9977,625,19673
13307,626,14361
13307,626,16250
11282,627,16347
8603,628,13776
12650,629,14807
10761,630,15057
10761,630,19618
9048,631,5010
12493,632,244
12493,632,9160
5883,634,374
5883,634,2727
5883,634,8076
2712,635,10967
2712,635,28566
15185,636,4495
15185,636,25340
3461,637,84
3461,637,12443
3461,637,17155
8866,638,3119
9272,639,12
9272,639,12418
3892,641,22384
3892,641,22570
3036,642,13700
5475,644,4185
5475,644,20842
2566,645,11
2566,645,650
9927,647,5912
9927,647,24086
1344,648,470
1344,648,13805
2431,649,183
2431,649,4657
2431,649,19186
9298,650,12470
9282,651,680
9282,651,26206
5879,653,1803
5879,653,18847
11759,654,1528
11759,654,9278
11759,654,17130
6828,655,21895
13803,657,7741
13803,657,16204
2639,658,6771
2639,658,26533
4476,659,25112
15985,660,13381
15985,660,21280
6823,661,10568
6823,661,14906
6823,661,19565
5706,662,171
5706,662,5318
5706,662,16279
6992,663,13882
6992,663,16040
10341,664,18975
2634,665,7732
2634,665,14751
2634,665,17276
1820,666,17592
1820,666,18309
1820,666,25736
2053,667,7534
2053,667,12732
12133,668,12212
12133,668,24996
11619,670,16524
15682,671,17508
15682,671,28261
9806,672,4086
14584,673,1593
14584,673,10417
14584,673,10433
12384,674,17163
1551,675,1765
1551,675,14689
1551,675,22100
1619,676,3175
1619,676,17503
10475,677,24345
10475,677,24939
10475,677,26357
6849,678,21596
11652,679,15853
3012,680,8892
3012,680,28777
14761,681,20139
13664,682,7182
14971,683,5646
10525,684,3539
10525,684,25591
6948,685,10750
6948,685,12581
11415,686,23798
3676,687,2542
3676,687,11295
8220,688,26183
2895,689,24443
15992,690,21271
6457,691,411
6457,691,4520
6457,691,11819
11378,692,24562
11589,693,27177
968,694,14334
968,694,18786
3259,696,2774
7678,697,13982
6877,698,14021
6877,698,14269
9384,699,15008
10175,700,15146
10175,700,29022
294,701,1286
294,701,16450
294,701,29386
1386,702,13027
1386,702,23119
13770,703,1219
11695,704,10473
11695,704,14700
11695,704,16451
8908,705,3679
8908,705,14322
439,706,5761
3864,707,152
3864,707,1107
3864,707,24364
6026,708,25324
12111,709,19578
12111,709,21554
264,710,10060
264,710,24419
15862,711,1277
15862,711,14813
10538,712,4111
12769,713,20982
7712,714,886
7712,714,2644
15754,715,10494
15754,715,22376
6461,716,7424
16006,717,27487
16006,717,29230
13099,718,13978
1832,719,9285
9616,720,18553
781,721,1611
781,721,12591
3965,722,6224
3965,722,21982
16154,723,24458
16154,723,24574
12072,724,606
15904,725,7916
11928,726,5388
11928,726,9141
11928,726,10113
5095,727,9110
5394,729,16794
12975,730,7761
8664,731,21727
3838,732,11932
3838,732,17083
3838,732,27751
5345,733,3144
5345,733,22546
2723,734,18683
2723,734,29136
7972,735,12715
7972,735,17292
5137,736,15615
14190,737,2799
14190,737,7353
14190,737,17534
14190,737,24603
13351,738,2693
13351,738,13526
13351,738,27722
15057,740,11551
12142,741,2356
12142,741,20827
15306,742,28788
13945,743,1580
13945,743,3898
13945,743,4415
8067,745,4428
8067,745,11804
12782,746,6910
12782,746,17858
12782,746,24216
8045,747,6005
8045,747,28774
3118,748,1341
3118,748,23419
2193,749,26061
2193,749,28584
1036,750,28626
13071,751,12564
13071,751,18144
12809,753,11508
12809,753,23908
8000,754,9333
8000,754,25607
3206,755,6651
3206,755,26378
3549,756,3363
3549,756,4250
11511,757,21194
2403,758,378
5970,759,1477
5970,759,22574
5970,759,25483
11062,760,7476
2146,761,3015
223,762,23169
223,762,25084
2373,763,15190
2373,763,26454
12225,764,2118
12225,764,5314
1065,765,5604
1065,765,18310
1065,765,27167
11133,766,6141
5140,767,5383
5140,767,28753
5339,768,5128
5339,768,9171
5339,768,29401
7146,769,15292
7146,769,22448
11894,770,13548
9637,771,2709
9637,771,10029
7309,772,8201
7309,772,17715
7134,773,2673
15748,774,1458
15748,774,1672
2534,775,8215
2534,775,19579
1312,776,21533
16082,777,5997
16082,777,17669
14866,778,1391
14866,778,15119
15544,779,24758
2002,780,2176
2002,780,3750
8237,781,9408
8237,781,20010
8237,781,24047
1929,782,1798
1929,782,7596
11628,783,1751
1811,784,15864
1811,784,19843
1811,784,27370
631,785,27073
631,785,29346
11455,786,12640
3796,787,2851
3796,787,14756
15743,788,7970
9746,789,2076
9746,789,15907
8383,790,10465
8383,790,12241
1247,791,23616
10373,793,3042
10373,793,18831
7682,794,11878
10114,795,4778
10114,795,15227
9123,796,3956
9123,796,16728
6096,797,5349
6096,797,12388
12521,798,22265
12521,798,22736
359,799,7862
15088,800,12685
15088,800,21220
11512,801,5152
11512,801,6078
11512,801,15495
7940,802,2567
7940,802,25025
2050,803,986
2050,803,17441
6223,804,9747
6223,804,11270
9482,805,21424
9482,805,23309
15673,806,19832
13898,807,4759
15798,808,10570
15798,808,15704
6430,809,14499
2701,811,20226
2701,811,27284
2394,812,12144
2394,812,23543
4458,813,21899
4458,813,27423
7767,814,2106
14951,815,6022
14951,815,11370
6149,816,15085
6149,816,28165
12543,817,16332
12543,817,25987
928,818,2281
928,818,19035
2004,819,5016
2004,819,28794
9049,820,7462
9049,820,22388
7137,821,5949
7137,821,15203
14574,823,14822
14574,823,19672
15546,824,21578
15546,824,22909
5641,825,12878
5641,825,13246
3789,826,13435
3789,826,24297
15959,827,27933
12173,828,22593
12173,828,22775
15580,829,5192
15580,829,22377
6600,830,24180
1356,831,2270
1356,831,22389
1356,831,27492
1837,832,26892
1837,832,28652
13586,833,19836
12119,834,26745
11860,835,1293
1574,836,7582
1574,836,29025
13792,837,12469
1792,838,2692
8852,839,15312
10302,840,25174
10444,841,8795
10444,841,17167
10444,841,23152
11701,842,20474
11701,842,24976
12531,843,16884
12531,843,19593
3015,844,9877
3015,844,24519
3015,844,25724
5662,845,6364
7988,846,2674
7988,846,29048
14884,847,12074
2156,848,5861
8950,849,12931
11221,850,1592
13817,851,3500
13817,851,24999
9228,852,11594
9228,852,28645
14111,853,8815
14111,853,10837
11577,855,133
11577,855,3968
11577,855,18384
1693,856,12984
1693,856,26650
13524,857,14768
1018,858,17897
1018,858,27109
2035,859,4450
2035,859,6592
2035,859,14267
9934,860,18374
11995,861,1074
11995,861,23562
11995,861,25964
5866,862,15948
2766,863,2095
2766,863,5770
2766,863,17580
2766,863,27655
3405,864,24038
3405,864,27053
3405,864,28505
6395,865,15105
6395,865,22752
15851,867,6762
15851,867,18373
15851,867,28695
15059,868,9625
15059,868,19315
9544,869,25518
9544,869,28875
537,870,22849
10216,871,10247
10216,871,11603
10216,871,25476
15697,872,9665
15909,873,11675
15909,873,24099
7091,874,1236
7091,874,7438
14617,875,19256
1785,876,4904
1785,876,8377
1785,876,15695
1520,877,11116
4092,878,24563
3924,879,24342
855,880,5473
855,880,8362
6306,881,2214
6306,881,7198
6890,882,10093
6890,882,29244
12192,883,2743
12192,883,9683
12192,883,26008
7030,884,59
7030,884,27154
7718,885,9287
7718,885,22947
1380,887,4780
870,888,3300
870,888,3366
8521,889,16785
6893,891,5796
6893,891,24867
6893,891,24953
11709,892,12358
11709,892,20288
14813,893,10411
14799,894,3685
14799,894,16238
5902,895,22870
9636,896,17900
3698,897,3696
5066,898,11657
5066,898,13357
1075,899,11672
311,901,4473
311,901,24969
14144,902,590
14144,902,16981
3528,903,18611
7082,904,5696
7082,904,11797
6290,905,2434
1536,906,14488
913,907,6750
15396,908,249
15396,908,309
14185,909,3472
11260,910,18248
958,911,12890
958,911,25812
8391,912,10204
8391,912,25914
9581,913,11847
9581,913,15650
2491,914,7230
2491,914,13096
5179,915,9284
5179,915,26359
1789,916,12055
1789,916,24590
704,917,24014
704,917,29406
4191,918,4171
4191,918,20341
13533,919,8723
13533,919,27406
15162,920,22469
593,921,3659
593,921,21339
593,921,23763
3749,922,24698
3749,922,26915
5700,923,2364
5700,923,18910
5700,923,27205
7520,924,27460
6004,925,16677
14751,926,4686
1938,927,8857
1938,927,16977
1532,928,27802
10911,929,4757
10911,929,26063
16037,930,3890
16037,930,5873
16037,930,15901
9783,931,9686
10018,932,20652
10018,932,21629
322,933,4867
322,933,7142
322,933,26926
4153,934,27744
8895,935,9228
8895,935,21077
9744,936,10365
9744,936,24978
10516,937,17013
10516,937,26790
8102,938,23135
8102,938,29445
11819,939,6227
11819,939,11788
3520,940,11322
3520,940,24221
6437,941,7156
6437,941,11984
5211,942,17639
5211,942,21101
11593,944,18405
8242,946,7547
14249,947,13420
14249,947,13860
5651,948,5982
12089,949,7905
12089,949,24242
12089,949,27153
8956,950,1558
8956,950,2825
11853,951,18102
8203,952,554
8203,952,26600
2074,953,732
2074,953,6749
9750,954,4319
9750,954,9023
5254,955,10406
5254,955,29088
1707,956,8037
1250,957,21209
1250,957,27435
7089,958,4661
7089,958,20207
5642,959,14940
14179,960,13652
1130,961,2426
6527,962,670
14674,963,9996
1068,964,10103
1068,964,14705
11013,965,16141
11013,965,17966
7492,966,8066
1429,967,5182
8411,968,4074
8411,968,20183
5013,969,7287
5013,969,24935
6396,970,28388
7969,971,4585
7969,971,10958
7969,971,23858
3072,972,1837
3072,972,27857
3072,972,28463
1382,973,5630
3445,974,26251
729,975,1702
5878,976,2253
5878,976,3554
10199,977,7348
15919,978,23755
15919,978,26241
12166,979,25119
6144,980,17806
6144,980,24559
3574,981,22030
5036,982,6546
2482,983,3168
2482,983,15584
7088,985,21315
7088,985,21524
2250,986,13624
2250,986,17826
2250,986,21910
3844,987,24088
7325,988,386
7325,988,13944
13695,989,2038
2955,990,4725
2955,990,16122
11158,992,934
11158,992,2516
1306,993,26065
3113,994,8659
3113,994,20354
15096,995,16725
5269,996,3071
7024,997,27607
7024,997,28918
10930,998,19668
9501,999,17067
16149,1000,3558
11114,1001,838
11114,1001,13917
14385,1002,7845
14385,1002,25390
1158,1003,9739
1158,1003,13915
13750,1004,16658
8305,1005,14552
8305,1005,14830
15516,1006,23286
15516,1006,26822
15516,1006,27946
527,1007,1117
527,1007,27168
10489,1008,7575
10489,1008,17739
2271,1009,18569
9371,1010,28996
7326,1011,19164
885,1012,4487
885,1012,18444
7394,1013,2483
7394,1013,18041
1553,1014,11761
1553,1014,21176
9310,1015,3728
571,1016,22671
571,1016,28430
12378,1017,13135
12378,1017,24508
11128,1018,15556
519,1019,26938
519,1019,28720
15290,1020,3226
15290,1020,9542
14016,1021,23922
9658,1022,16165
9658,1022,17227
9658,1022,23005
14684,1023,6759
14684,1023,25231
8221,1024,8541
8221,1024,13640
15659,1025,15460
15659,1025,18266
15659,1025,24184
13428,1026,5417
13428,1026,21380
31,1027,9869
31,1027,22313
12506,1028,25445
13464,1029,23433
13464,1029,27250
2410,1030,8883
2410,1030,17832
5313,1031,14226
5313,1031,27026
3219,1032,15570
3219,1032,24646
4913,1033,4246
9955,1034,19687
9955,1034,23264
1944,1035,5579
1944,1035,12233
11061,1036,18891
11061,1036,23111
4081,1037,6482
4081,1037,17360
3287,1038,17892
3287,1038,19981
11972,1039,19611
2527,1040,9451
2527,1040,11601
10524,1041,3161
10524,1041,8200
10524,1041,15179
4079,1042,23356
4079,1042,27403
12603,1043,8368
12603,1043,28401
7707,1044,20174
7707,1044,22297
1575,1045,23194
1575,1045,26426
11036,1047,3224
11036,1047,19713
13362,1048,8468
13362,1048,23269
2095,1049,24314
