acct_id_new,gender,city,state,zip,ethnicity
106,M,Jefferson,NC,28640,0
107,F,Connelly Springs,NC,28612,0
108,F,Lenoir,NC,28645,0
109,M,Hayesville,NC,28904,0
110,F,Forest City,NC,28043,0
111,M,Morganton,NC,28655,0
112,F,Hickory,NC,28602,0
113,M,Robbinsville,NC,28771,0
114,F,Bostic ,NC,28018,0
115,F,Glen Alpine,NC,28628,0
116,F,Hays,NC,28635,2
117,F,Spindale,NC,28160,0
118,M,Forest City,NC,28043,0
119,M,Morganton,NC,28655,0
120,F,Robbinsville,NC,28771,0
121,F,Wilkesboro,NC,28697,1
122,M,SPRUCE PINE,NC,28777,0
123,M,Bryson City,NC,28713,0
124,M,Henrietta,NC,28076,1
125,F,Wilkesboro,NC,28697,1
126,F,Robbinsville,NC,28771,1
127,M,Roaring River,NC,28669,2
128,F,Icard,NC,28666,1
129,M,Hickory,NC,28602,0
130,F,Forest City,NC,28043,1
131,F,Morganton,NC,28655,0
132,M,Ellenboro,NC,28040,0
133,M,Morganton,NC,28655,0
134,M,North Wilkesboro,NC,28659,2
135,F,Union Mills,NC,28167,0
136,F,Morganton,NC,28655,0
137,F,Moravian Falls,NC,28654,0
138,M,Morganton,NC,28655,0
139,M,Valdese,NC,28690,0
140,M,Rutherfordton,NC,28139,0
141,F,Morganton,NC,28655,0
142,F,Morganton,NC,28655,1
143,M,Rutherfordton,NC,28139,0
144,F,Rutherfordton,NC,28139,0
145,M,Morganton,NC,28655,0
146,NULL,NULL,NULL,NULL,NULL
147,M,NULL,NULL,NULL,0
148,NULL,NULL,NULL,NULL,NULL
149,F,NULL,NULL,NULL,0
150,F,Jefferson,NC,28640,0
151,M,Marshall,NC,28753,0
152,M,Morganton,NC,28655,0
153,F,Morganton,NC,28655,0
154,F,Hickory,NC,28602,0
155,F,Henrietta,NC,28076,1
156,M,Jefferson,NC,28640,0
157,F,Millers Creek,NC,28651,0
158,M,Morganton,NC,28655,0
159,M,Forest City,NC,28043,0
160,F,Sparta,NC,28675,0
161,M,Morganton,NC,28655,0
162,F,Hayesville,NC,28904,0
163,F,Forest City,NC,28043,0
164,M,Boone,NC,28607,0
165,M,Roaring River,NC,28669,0
166,F,Jefferson,NC,28640,0
167,M,Morganton,NC,28655,1
168,F,Morganton,NC,28655,0
169,F,Morganton,NC,28655,0
170,M,North Wilkesboro,NC,28659,2
171,M,Robbinsville,NC,28771,0
172,F,North Wilkesboro,NC,28659,0
173,M,Bostic,NC,28018,0
174,F,Forest City,NC,28043,0
175,M,Morganton,NC,28655,0
176,F,Hayesville ,NC,28904,0
177,M,Morganton,NC,28655,0
178,M,BOSTIC,NC,28018,0
179,F,Morganton,NC,28655,1
180,M,Bostic,NC,28018,0
181,M,Morganton,NC,28655,0
182,NULL,NULL,NULL,NULL,NULL
183,F,North Wilkesboro,NC,28659,0
184,F,Hickory,NC,28601,0
185,F,Rutherfordton,NC,28139,0
186,F,Forest City,NC,28043,0
187,F,Hays,NC,28635,0
188,F,Forest City,NC,28043,0
189,M,Forest City,NC,28043,1
190,NULL,NULL,NULL,NULL,NULL
191,F,Henrietta,NC,28076,0
192,F,Boone,NC,28607,0
193,F,Morganton,NC,28655,0
194,M,Forest City,NC,28043,0
195,M,Whittier,NC,28789,0
196,F,North Wilkesboro,NC,28659,2
197,M,Rutherfordton,NC,28139,0
198,NULL,NULL,NULL,NULL,NULL
199,M,Forest City,NC,28043,0
200,F,Elkin,NC,28621,0
201,M,Jefferson,NC,28640,0
202,M,Forest City,NC,28043,0
203,M,Traphill,NC,28685,0
204,F,Morganton,NC,28680,0
205,NULL,NULL,NULL,NULL,NULL
206,F,West Jefferson,NC,28694,0
207,M,Wilkesboro,NC,28697,0
208,NULL,NULL,NULL,NULL,NULL
209,F,Elkin,NC,28621,0
210,M,North Wilkesboro,NC,28659,2
211,F,Leicester,NC,28748,0
212,F,Marshall,NC,28753,1
213,NULL,NULL,NULL,NULL,NULL
214,F,Ellenboro,NC,28040,0
215,M,West Jefferson,NC,28694,1
216,F,Valdese,NC,28690,0
217,M,Morganton,NC,28655,0
218,M,Rutherfordton,NC,28139,0
219,M,Bostic,NC,28018,1
220,F,Forest City,NC,28043,0
221,M,Millers Creek,NC,28651,2
222,M,Wilkesboro,NC,28697,2
223,M,Morganton,NC,28655,0
224,NULL,NULL,NULL,NULL,NULL
225,F,Lansing,NC,28643,0
226,M,Mooresboro,NC,28114,0
227,F,Wilkesboro,NC,28697,0
228,F,Rutherfordton,NC,28139,0
229,M,Mars Hill,NC,28754,0
230,F,Valdese ,NC,28690,0
231,M,North Wilkesboro,NC,28659,0
232,M,Mars HIll,NC,28754,0
233,M,Burnsville,NC,28714,0
234,M,North Wilkesboro,NC,28659,2
235,F,Boomer,NC,28606,2
236,M,North Wilkesboro,NC,28659,0
237,M,Forest City,NC,28043,0
238,F,North Wilkesboro,NC,28659,0
239,F,Morganton,NC,28655,0
240,F,Spindale,NC,28160,0
241,F,Marshall,NC,28753,0
242,F,Icard,NC,28666,0
243,M,Hayesville,NC,28904,0
244,M,Ellenboro,NC,28040,0
245,F,Ronda,NC,28670,0
246,F,Forest City,NC,28043,0
247,M,Rutherfordton,NC,28139,0
248,M,Morganton,NC,28655,1
249,F,North Wilkesboro,NC,28659,0
250,M,Forest City,NC,28043,0
251,F,Morganton,NC,28655,0
252,NULL,NULL,NULL,NULL,NULL
253,F,Morganton,NC,28655,0
254,F,Lenoir,NC,28645,0
255,M,Marshall,NC,28753,0
256,F,Union Mills,NC,28167,0
257,F,Rutherfordton,NC,28139,0
258,M,Forest City,NC,28043,0
259,F,Forest City,NC,28043,0
260,M,Rutherfordton,NC,28139,0
261,NULL,NULL,NULL,NULL,NULL
262,M,Elkin,NC,28621,0
263,F,Millers Creek,NC,28651,0
264,M,North Wilkesboro,NC,28659,2
265,M,North Wilkesboro,NC,28659,1
266,NULL,NULL,NULL,NULL,NULL
267,M,Sparta,NC,28675,2
268,M,Hays,NC,28635,0
269,F,Jefferson,NC,28640,0
270,M,Forest City,NC,28018,0
271,M,Hickory,NC,28601,0
272,M,Mars Hill,NC,28754,0
273,M,Mooresboro,NC,28114,0
274,NULL,NULL,NULL,NULL,NULL
275,M,North Wilkesboro,NC,28659,2
276,M,Ennice,NC,28623,1
277,F,Ellenboro,NC,28040,0
278,M,Hot Springs,NC,28743,0
279,M,Bostic,NC,28018,0
280,F,Ellenboro,NC,28040,0
281,F,Mars Hill,NC,28754,0
282,M,Forest City,NC,28043,1
283,M,Morganton,NC,28655,0
284,M,Warne,NC,28909,0
285,M,Morganton,NC,28655,0
286,M,Forest City,NC,28043,0
287,M,Rutherfordton,NC,28139,0
288,F,Roaring River,NC,28669,0
289,M,Union Mills,NC,28167,0
290,F,Marshall,NC,28753,0
291,M,Connelly Springs,NC,28612,0
292,M,Connelly Springs,NC,28612,0
293,M,Mars Hill,NC,28754,0
294,F,Morganton,NC,28655,0
295,M,Cherokee,NC,28719,0
296,M,Hays,NC,28635,0
297,F,Union Mills,NC,28167,0
298,M,Thurmond,NC,28683,2
299,NULL,NULL,NULL,NULL,NULL
300,F,Mars Hill,NC,28754,0
301,F,Purlear,NC,28665,0
302,F,Mars Hill,NC,28754,0
303,F,Bostic,NC,28018,0
304,F,Ellenboro,NC,28040,0
305,M,Ellenboro,NC,28040,0
306,F,Burnsville,NC,28714,0
307,F,Ellenboro,NC,28040,0
308,NULL,NULL,NULL,NULL,NULL
309,M,Morganton,NC,28655,0
310,M,Cherokee,NC,28719,0
311,F,Morganton,NC,28655,0
312,F,Rutherfordton,NC,28139,0
313,M,Roaring River,NC,28669,0
314,NULL,NULL,NULL,NULL,NULL
315,NULL,NULL,NULL,NULL,NULL
316,M,Rutherfordton,NC,28139,0
317,M,Robbinsville,NC,28771,0
318,M,Morganton,NC,28655,0
319,F,Union Grove,NC,28689,0
320,F,Hayesville,NC,28904,0
321,F,Hickory,NC,28601,1
322,M,North Wilkesboro,NC,28659,0
323,M,Sparta,NC,28675,2
324,M,Jefferson,NC,28640,1
325,F,Sugar Grove,NC,28679,0
326,M,Wilkesboro,NC,28697,0
327,M,Wilkesboro,NC,29697,0
328,M,Purlear,NC,28665,0
329,M,Bostic,NC,28018,0
330,F,Harris,NC,28074,0
331,F,Mars Hill,NC,28754,0
332,F,Forest City,NC,28043,0
333,M,Hays,NC,28635,0
334,F,Rutherfordton,NC,28139,0
335,M,Lansing,NC,28643,1
336,M,Morganton,NC,28655,0
337,F,Marshall,NC,28753,1
338,M,Elkin,NC,28621,0
339,M,Roaring River,NC,28669,0
340,NULL,NULL,NULL,NULL,NULL
341,M,Morganton,NC,28655,0
342,M,Whittier,NC,28789,0
343,F,Bostic,NC,28018,0
344,M,Ellenboro,NC,28040,0
345,F,Moravian Falls,NC,28654,0
346,M,Ronda,NC,28670,0
347,M,North Wilkesboro,NC,28659,1
348,NULL,NULL,NULL,NULL,NULL
349,F,Forest City,NC,28043,0
350,F,Millers Creek,NC,28651,0
351,F,Wilkesboro,NC,28697,0
352,M,Ellenboro,NC,28040,0
353,F,Rutherfordton,NC,28139,0
354,NULL,NULL,NULL,NULL,NULL
355,M,Morganton,NC,28655,0
356,M,Morganton,NC,28655,0
357,M,Forest City,NC,28043,0
358,F,Hayesville,NC,28904,0
359,F,Morganton,NC,28655,1
360,F,Wilkesboro,NC,28697,0
361,F,Moravian Falls,NC,28654,0
362,M,Boomer,NC,28606,0
363,M,Forest City,NC,28043,0
364,M,Wilkesboro,NC,28697,2
365,M,Fleetwood,NC,28626,0
366,F,North Wilkesboro,NC,28659,0
367,F,Bostic,NC,28018,0
368,F,Forest City,NC,28043,0
369,M,Forest City,NC,28043,0
370,M,Bostic,NC,28018,0
371,F,Mars Hill,NC,28754,0
372,F,Forest City,NC,28043,0
373,M,Todd,NC,28684,0
374,M,North Wilkesboro,NC,28659,0
375,F,North Wilkesboro,NC,28659,0
376,F,Wilkesboro,NC,28697,0
377,NULL,NULL,NULL,NULL,NULL
378,F,Boomer,NC,28606,0
379,F,Rutherfordton,NC,28139,0
380,M,Ferguson,NC,28624,2
381,M,Forest City,NC,28043,1
382,F,Laurel Springs,NC,28644,0
383,M,Hayesville,NC,28904,1
384,M,Marshall,NC,28753,0
385,M,Forest City,NC,28043,0
386,M,Morganton,NC,28655,0
387,F,Forest City,NC,28043,0
388,F,Rutherfordton,NC,28139,0
389,M,Forest City,NC,28043,0
390,F,Wilkesboro,NC,28697,2
391,M,Millers Creek,NC,28651,0
392,NULL,NULL,NULL,NULL,NULL
393,F,Morganton,NC,28655,0
394,M,Morganton,NC,28655,0
395,M,Hays,NC,28635,0
396,M,Bostic,NC,28018,0
397,M,Glen Alpine,NC,28728,0
398,M,Warrensville,NC,28693,0
399,M,Millers Creek,NC,28651,0
400,F,Rutherfordton,NC,28139,0
401,M,West Jefferson,NC,28694,0
402,F,Moravian Falls,NC,28654,1
403,M,Blowing Rock,NC,28605,1
404,F,Mooresboro,NC,28114,0
405,F,Wilkesboro,NC,28697,0
406,F,Morganton,NC,28655,0
407,M,Boone,NC,28607,1
408,F,Morganton,NC,28680,0
409,F,Robbinsville,NC,28771,0
410,NULL,NULL,NULL,NULL,NULL
411,F,Hickory,NC,28601,1
412,NULL,NULL,NULL,NULL,NULL
413,M,Rutherfordton,NC,28139,0
414,F,Valdese,NC,28690,0
415,M,Bryson City,NC,28713,0
416,F,Forest City,NC,28043,0
417,M,Nebo,NC,28761,0
418,NULL,NULL,NULL,NULL,NULL
419,F,Rutherfordton,NC,28139,0
420,F,Sugar Grove,NC,28679,0
421,F,Bryson City,NC,28713,0
422,F,North Wilkesboro,NC,28659,1
423,F,Mooresboro,NC,28114,0
424,F,Morganton,NC,28655,0
425,M,Vilas,NC,28692,0
426,M,Forest City,NC,28043,1
427,M,Rutherfordton,NC,28139,0
428,F,Morganton,NC,28655,0
429,M,Henrietta,NC,28076,0
430,F,Ellenboro,NC,28040,0
431,NULL,NULL,NULL,NULL,NULL
432,M,Forest City,NC,28043,0
433,F,Forest City,NC,28043,0
434,M,Marshall,NC,28753,0
435,M,Forest City,NC,28043,0
436,M,Marshall,NC,28753,0
437,F,Morganton,NC,28655,0
438,M,Forest City,NC,28043,0
439,M,North Wilkesboro,NC,28659,0
440,F,Forest City,NC,28043,0
441,F,Ellenboro,NC,28040,0
442,F,Cherokee,NC,28719,0
443,F,Nebo,NC,28761,0
444,F,Ellenboro,NC,28040,0
445,F,Rutherfordton,NC,28139,0
446,M,Glen Alpine,NC,28628,0
447,M,Morganton,NC,28655,0
448,F,Spindale,NC,28160,0
449,M,Millers Creek,NC,28651,0
450,M,Spindale,NC,28016,1
451,F,Hildebran,NC,28637,0
452,M,Morganton,NC,28655,0
453,M,Bostic,NC,28018,0
454,M,Rutherfordton,NC,28139,0
455,F,Warrensville,NC,28693,0
456,M,Ellenboro,NC,28040,0
457,M,Hayesville,NC,28904,0
458,NULL,NULL,NULL,NULL,NULL
459,M,North Wilkesboro,NC,28659,0
460,F,Caroleen,NC,28019,0
461,NULL,NULL,NULL,NULL,NULL
462,M,Valdese,NC,28690,0
463,F,Bostic,NC,28018,0
464,F,Sparta,NC,28675,0
465,F,Hayesville,NC,28904,0
466,M,Connelly Springs,NC,28612,0
467,M,Forest City,NC,28043,0
468,M,Forest City,NC,28043,1
469,M,Ellenboro,NC,28040,0
470,M,Millers Creek,NC,28651,0
471,M,NULL,NULL,NULL,0
472,F,Morganton,NC,28655,0
473,F,Laurel Springs,NC,28644,0
474,F,Morganton,NC,28655,0
475,F,Hot Springs,NC,28743,0
476,F,West Jefferson,NC,28694,1
477,M,Bryson City,NC,28713,0
478,M,Mooresboro,NC,28114,0
479,M,Marshall,NC,28753,1
480,F,Hickory,NC,28602,0
481,M,Hickory,NC,28602,0
482,F,Wilkesboro,NC,28697,0
483,F,Bostic,NC,28018,0
484,M,Boone,NC,28607,0
485,M,Forest City,NC,28043,0
486,M,Hot Springs,NC,28743,0
487,F,Morganton,NC,28655,0
488,M,Connelly Springs,NC,28612,0
489,M,Morganton,NC,28655,0
490,F,Burnsville,NC,28714,0
491,M,Union Mills,NC,28167,0
492,M,Forest City,NC,28043,0
493,M,Candler,NC,28716,0
494,F,Spindale,NC,28160,0
495,M,Connelly Springs,NC,28612,0
496,M,Jefferson,NC,28640,0
497,M,Ellenboro,NC,28040,0
498,F,Moravian Falls,NC,28654,1
499,M,Forest City,NC,28043,0
500,M,North Wilkesboro,NC,28659,0
501,M,NULL,NULL,NULL,0
502,F,Vilas,NC,28692,0
503,NULL,NULL,NULL,NULL,NULL
504,M,Rutherfordton,NC,28139,0
505,F,Spindale,NC,28160,0
506,M,Creston,NC,28615,0
507,M,Rutherfordton,NC,28139,0
508,F,Morganton,NC,28655,0
509,F,Rutherfordton,NC,28139,0
510,F,Bryson City,NC,28713,0
511,M,Valdese,NC,28690,0
512,F,Moravian Falls,NC,28654,0
513,F,Roaring River,NC,28669,1
514,F,Spindale,NC,28160,0
515,F,Marshall,NC,28753,0
516,F,Warne,NC,28909,0
517,M,Robbinsville,NC,28771,0
518,F,Spindale,NC,28160,0
519,M,Bryson City,NC,28713,0
520,M,Ellenboro,NC,28040,0
521,F,North Wilkesboro,NC,28659,1
522,M,Morganton,NC,28655,0
523,F,Valdese,NC,28690,0
524,NULL,NULL,NULL,NULL,NULL
525,F,Henrietta,NC,28076,0
526,F,Robbinsville,NC,28771,0
527,M,Connelly Springs,NC,28612,0
528,F,Wilkesboro,NC,28697,0
529,F,Forest City,NC,28043,0
530,M,Forest City,NC,28043,0
531,F,Rutherford College,NC,28671,0
532,M,Spindale,NC,28160,1
533,M,Forest City,NC,28043,0
534,M,North Wilkesboro,NC,28659,2
535,F,Jefferson,NC,28640,0
536,F,Traphill,NC,28685,0
537,M,Fleetwood,NC,28626,0
538,M,Forest City,NC,28043,0
539,F,Rutherfordton,NC,28139,0
540,NULL,NULL,NULL,NULL,NULL
541,M,Wilkesboro,NC,28697,0
542,M,North Wilkesboro,NC,28659,0
543,M,North Wilkesboro,NC,28659,2
544,M,Hickory,NC,28601,0
545,M,North Wilkesboro,NC,28659,2
546,F,Millers Creek,NC,28651,2
547,F,Forest City,NC,28043,0
548,M,Millers Creek,NC,28651,0
549,NULL,NULL,NULL,NULL,NULL
550,M,Morganton,NC,28655,0
551,F,Boone,NC,28607,0
552,F,Forest City,NC,28043,0
553,F,Bostic,NC,28018,0
554,F,Ennice,NC,28623,0
555,M,Lansing,NC,28643,0
556,F,Rutherfordton,NC,28139,0
557,M,Hickory,NC,28602,0
558,M,Hayesville,NC,28904,0
559,F,Moravian Falls,NC,28654,2
560,F,Marshall,NC,28753,0
561,F,Wilkesboro,NC,28697,2
562,F,Roaring River,NC,28669,0
563,M,Millers Creek,NC,28651,0
564,M,Bryson City,NC,28713,0
565,F,Marshall,NC,28753,0
566,F,Forest City,NC,28043,0
567,M,Millers Creek,NC,28651,2
568,M,Mooresboro,NC,28114,0
569,F,Morganton,NC,28655,0
570,F,Jefferson,NC,28640,0
571,M,Burnsville,NC,28714,0
572,M,Morganton,NC,28655,1
573,F,Sparta,NC,28623,0
574,F,Forest City,NC,28043,0
575,M,Ellenboro,NC,28040,0
576,F,Marshall,NC,28753,0
577,M,West Jefferson,NC,28694,1
578,M,Purlear,NC,28665,0
579,M,Bostic,NC,28018,0
580,F,Ellenboro,NC,28040,0
581,M,Mooresboro,NC,28114,0
582,M,Connelly Springs,NC,28612,0
583,M,North Wilkesboro,NC,28659,0
584,F,Morganton,NC,28655,0
585,M,North Wilkesboro,NC,28659,0
586,M,Whittier,NC,28789,0
587,F,Purlear,NC,28665,2
588,M,Mooesboro,NC,28114,1
589,M,Jefferson,NC,28640,0
590,F,Moravian Falls,NC,28654,0
591,M,Traphill,NC,28685,2
592,F,Morganton,NC,28655,1
593,M,Weaverville,NC,28754,0
594,M,Morganton,NC,28655,0
595,M,Morganton,NC,28655,0
596,M,Morganton,NC,28655,0
597,F,Rutherfordton,NC,28139,0
598,F,State Road,NC,28676,0
599,F,Ferguson,NC,28624,2
600,NULL,NULL,NULL,NULL,NULL
601,M,Valdese,NC,28690,0
602,M,Bryson City,NC,28713,0
603,NULL,NULL,NULL,NULL,NULL
604,F,Traphill,NC,28685,0
605,M,Morganton,NC,28655,0
606,M,Purlear,NC,28665,2
607,NULL,NULL,NULL,NULL,NULL
608,F,Ellenboro,NC,28040,0
609,M,Rutherfordton,NC,28139,0
610,M,Forest City,NC,28043,0
611,M,West Jefferson,NC,28694,0
612,F,Mooresboro,NC,28114,0
613,M,Elkin,NC,28621,0
614,NULL,NULL,NULL,NULL,NULL
615,M,Purlear,NC,28665,0
616,M,Forest City,NC,28043,0
617,M,Forest City,NC,28043,0
618,F,Bryson City,NC,28713,0
619,F,Elkin,NC,28621,0
620,F,Hickory,NC,28601,0
621,M,Union Mills,NC,28167,0
622,F,Forest City,NC,28043,0
623,M,Boomer,NC,28606,0
624,F,Boone,NC,28607,0
625,M,Valdese,NC,28690,0
626,M,Morganton,NC,28655,0
627,F,Morganton,NC,28655,0
628,M,Boone,NC,28607,0
629,M,Morganton,NC,28655,0
630,M,Wilkesboro,NC,28697,2
631,F,Rutherfordton,NC,28139,0
632,F,Morganton,NC,28655,0
633,NULL,NULL,NULL,NULL,NULL
634,M,Rutherfordton,NC,28139,0
635,M,Mooresboro,NC,28114,0
636,F,Crumpler,NC,28617,0
637,F,Ellenboro,NC,28040,0
638,M,Forest City,NC,28043,0
639,M,North Wilkesboro,NC,28659,0
640,NULL,NULL,NULL,NULL,NULL
641,M,West Jefferson,NC,28694,1
642,F,Bryson City,NC,28713,0
643,NULL,NULL,NULL,NULL,NULL
644,F,Bostic ,NC,28018,0
645,F,Wilkesboro,NC,28697,2
646,NULL,NULL,NULL,NULL,NULL
647,M,Morganton,NC,28655,0
648,F,Brasstown,NC,28902,0
649,F,Rutherfordton,NC,28139,0
650,M,Rutherfordton,NC,28139,0
651,F,Sparta,NC,28675,0
652,NULL,NULL,NULL,NULL,NULL
653,M,Sparta,NC,28675,2
654,F,Caroleen,NC,28019,0
655,M,Ellenboro,NC,28040,0
656,NULL,NULL,NULL,NULL,NULL
657,M,Traphill,NC,28685,2
658,F,Robbinsville,NC,28771,0
659,M,Rutherford,NC,28139,0
660,M,Wilkesboro,NC,28697,2
661,M,Ellenboro,NC,28040,0
662,F,Mooresboro,NC,28114,0
663,F,Ellenboro,NC,28040,0
664,M,Bryson City,NC,28713,0
665,M,Forest  City,NC,28043,0
666,F,Rutherfordton,NC,28139,0
667,F,Morganton,NC,28655,0
668,M,Union Grove,NC,28689,0
669,NULL,NULL,NULL,NULL,NULL
670,F,North Wilkesboro,NC,28659,1
671,F,Ennice,NC,28623,0
672,F,Forest City,NC,28043,1
673,M,Mooresboro,NC,28114,0
674,F,Ellenboro,NC,28040,0
675,F,Bostic,NC,28018,1
676,M,Robbinsville,NC,28771,0
677,F,Forest City,NC,28043,0
678,F,Vilas,NC,28692,0
679,M,Ellenboro,NC,28040,0
680,M,Rutherford College,NC,28671,0
681,M,Forest City,NC,28043,0
682,F,Forest City,NC,28043,0
683,F,Piney Creek,NC,28663,0
684,F,Traphill,NC,28685,0
685,F,Sparta,NC,28675,0
686,M,North Wilkesboro,NC,28659,0
687,M,Boomer,NC,28606,0
688,M,Mars Hill,NC,28754,0
689,M,Banner Elk,NC,28604,0
690,F,Cherokee,NC,28719,0
691,M,Forest City,NC,28043,0
692,M,North Wilkesboro,NC,28659,1
693,F,Forest City,NC,28043,0
694,M,Morganton,NC,28655,0
695,NULL,NULL,NULL,NULL,NULL
696,M,Burnsville,NC,28714,0
697,M,Purlear,NC,28665,0
698,M,Sparta,NC,28675,2
699,F,Ellenboro,NC,28040,0
700,M,Forest City,NC,28043,0
701,F,Rutherfordton,NC,28139,0
702,M,Ronda,NC,28670,0
703,F,Spindale,NULL,N.C. 28160,0
704,F,Forest City,NC,28043,0
705,F,Connelly Springs,NC,28612,0
706,F,Morganton,NC,28655,0
707,M,Ellenboro,NC,28040,0
708,M,Forest City,NC,28043,0
709,F,West Jefferson,NC,28694,0
710,M,North Wilkesboro,NC,28659,1
711,M,Hildebran,NC,28637,0
712,M,Marshall,NC,28753,0
713,F,Whittier,NC,28789,0
714,M,Morganton,NC,28655,1
715,F,Morganton,NC,28655,1
716,F,Burnsville,NC,28714,1
717,M,Hickory,NC,28601,1
718,M,Rutherfordton,NC,28139,0
719,F,Rutherfordton,NC,28139,0
720,M,Morganton,NC,28655,0
721,M,Morganton,NC,28655,0
722,M,Ellenboro,NC,28040,0
723,M,Lansing,NC,28643,0
724,M,Boone,NC,28607,0
725,M,Millers Creek,NC,28651,0
726,F,Union Mills,NC,28167,0
727,F,Millers Creek,NC,28651,0
728,NULL,NULL,NULL,NULL,NULL
729,F,Hayesville,NC,28904,0
730,F,Marshall,NC,28753,0
731,M,Hickory,NC,28601,0
732,F,Forest City,NC,28043,0
733,M,Marshall,NC,28753,1
734,F,Forest City,NC,28043,0
735,F,Morganton,NC,28655,0
736,M,Deep Gap,NC,28618,0
737,M,Morganton,NC,28655,0
738,M,Union Mills,NC,28167,0
739,NULL,NULL,NULL,NULL,NULL
740,M,Morganton,NC,28655,0
741,F,Jefferson,NC,28640,0
742,F,Rutherfordton,NC,28139,0
743,F,Ellenboro,NC,28040,0
744,NULL,NULL,NULL,NULL,NULL
745,F,Warne,NC,28909,0
746,M,Foresst City,NULL,28043,0
747,M,Vilas,NC,28692,0
748,F,Boone,NC,28607,0
749,M,Morganton,NC,28655,0
750,M,Mooresboro,NC,28114,0
751,M,Forest City,NC,28043,0
752,NULL,NULL,NULL,NULL,NULL
753,F,Wilkesboro,NC,28697,2
754,M,Ferguson,NC,28624,2
755,M,Robbinsville,NC,28771,0
756,M,Hayesville,NC,28904,0
757,F,Rutherfordton,NC,28139,0
758,M,Connelly Springs,NC,28612,0
759,F,Rutherfordton,NC,28139,0
